gene_id	gene_name	Nac_oxy_1	Nac_oxy_2	Nac_oxy_3	Nac_oxy_4	Nac_oxy_5	Nac_oxy_6	Nac_oxy_7	Nac_oxy_8	Nac_Sal_1	Nac_Sal_2	Nac_Sal_3	Nac_Sal_4	Nac_Sal_5	Nac_Sal_6	Nac_Sal_7	Nac_Sal_8
ENSMUSG00000000402	Egfl6	3	10	5	4	3	7	2	18	29	2	4	40	12	17	2	18
ENSMUSG00000000409	Lck	5	26	32	16	6	8	20	13	2	12	0	26	10	25.999	4	16
ENSMUSG00000000411	Tssk3	0	3	0	0	1	3	3	0	0	0	1	3	4	0	0	0
ENSMUSG00000000416	Cttnbp2	634.001	1753.999	2303	1908.999	1022.999	1978	2105.001	2060	2189.999	1060	276.751	2084	1885	1430.999	265.817	1670
ENSMUSG00000000420	Galnt1	129	585.001	686.999	429	361	667	445	549	732.001	430	120	1006	377	949	142	739
ENSMUSG00000000435	Myf5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	Mkrn2	84	318	400	228	211	332	186	363	391	186	44.823	525	227	424	65.019	396
ENSMUSG00000000440	Pparg	1	6	6	4	3	8	9	13	13	4	2	9	11	18	3	3
ENSMUSG00000000441	Raf1	213	867	1093	693.001	513	852.999	671.001	1042.999	1034	585	131.176	1346.999	602.001	1212	164.981	879
ENSMUSG00000000486	Sept1	0	0	1	1	0	0	0	1	2	0	0	2	0	0	1	0
ENSMUSG00000000489	Pdgfb	31	99	102	80	64	117	106	106	163	73	10	170	76	180	20	116
ENSMUSG00000000530	Acvrl1	10	76	82.001	63	82	121	164	69	121	35	21	177.001	65	141	12	139
ENSMUSG00000000531	Grasp	72.759	236	173	214	155	199	292	245	263	84	22	521	241	360	48	407
ENSMUSG00000000532	Acvr1b	242	1042	1057	756	606	983	714	1107	1247	654	126	1729	701	1618	182	974
ENSMUSG00000000538	Tom1l2	574	1760.999	2126	1629	1161.998	1859.999	1596.001	1782	2078	1345.001	254	2350.999	1674.001	2914.001	317.001	1693
ENSMUSG00000000544	Gpa33	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000552	Zfp385a	61	69	50	88	80	81	113	70	90	85	4	90	157	97	18	85
ENSMUSG00000000555	Itga5	14	38	61	42	47	59	117	60	99	15	6	107	88	20	8	90
ENSMUSG00000000560	Gabra2	251.999	519.999	736	713	364	655	637.001	612.999	755	547.001	97	990	686	941.001	121.999	668
ENSMUSG00000000561	Wdr77	153.168	539.735	580.54	468.757	314.841	432.63	401.021	554.118	502.814	423.357	58.948	805.912	341.261	977.432	113.027	526.925
ENSMUSG00000000562	Adora3	2	18	11	2	3	3	7	9	30	2	0	13	1	15	0	8
ENSMUSG00000000563	Atp5f1	334.866	1653.72	1739.651	1187.909	820.785	1532.916	1049.843	1624.659	1788.87	893.813	257.984	2421.633	962.373	2142.822	466.817	1585.798
ENSMUSG00000000567	Sox9	56	167	187	163	103	140	151	92	147	99	11	132	162	154	30	101
ENSMUSG00000000568	Hnrnpd	413.813	1143	1292	1297	871.999	1246.999	1298	1143.001	1534.999	956.992	164.191	1541	1197	1588	234.022	996
ENSMUSG00000000579	Dynlt1c	20.785	93.28	93.186	71.09	51.485	59.798	45.545	89.356	48.705	87.866	9.054	104.41	46.741	245.078	9.721	77.188
ENSMUSG00000000581	C1d	99	343	522	282	221	424.001	229	363.001	401	246	34	548	187	448.001	84	358
ENSMUSG00000000594	Gm2a	89	410	310	286	215	343	256	331	493	245	47	632	271	645	90	384
ENSMUSG00000000600	Krit1	308	882.002	1153	903.002	539.001	997	819.999	903	1152.001	638.001	126	1140.001	716	1094.001	140	751
ENSMUSG00000000605	Clcn4-2	342	1752	2031	1369	943	1728	1263	2181	2304	1074	253	2961	1182	2634	313	1814
ENSMUSG00000000606	Vmn2r88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	Grm6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000627	Sema4f	82	213	191	179	140	185	195	178	249	184	16	329	250	429	49	186
ENSMUSG00000000628	Hk2	6	33	45	12	19	37	33	30	60	14	2	62	29	57	2	45
ENSMUSG00000000631	Myo18a	411.001	1350.999	1317.999	1094.001	742.999	1670	1235.001	1259.001	1974	875.001	222.999	2465.001	1390.999	2375	248	1799.001
ENSMUSG00000000632	Sez6	923.999	2887	2615	2702	1460.001	2121	2894	1695.999	2757	1455	316	3409	3135.998	2874.001	430	2670.999
ENSMUSG00000000673	Haao	0	5	2	0	0	3	0	0	0	0	0	3	0	0	0	7
ENSMUSG00000000682	Cd52	3	15	10	1	2	5	3	11	24	3	0	7	11	15	1	6
ENSMUSG00000000686	Abhd15	8	16	20	14	4	22	10	7	3	5	4	10	7	9	0	19
ENSMUSG00000000690	Hoxb6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000000693	Loxl3	3	53	38	17	22	40	11	33	35	27	3.283	71	18	99	6.858	42
ENSMUSG00000000701	Tcl1b5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	Btn1a1	0	0	0	1	1	0	0	3	6	2	0	0	0	5	0	0
ENSMUSG00000000708	Kat2b	117	420	570	383	268	580	356.951	490	545	332	55	642	292	741	77	460.997
ENSMUSG00000000711	Rab5b	201.965	1333.456	1634.617	872.63	736.887	1376.22	903.941	1348.819	1472.763	842	164	1953.113	754.827	2133.697	205	1388.824
ENSMUSG00000000724	Cryba1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000000730	Dnmt3l	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000000731	Aire	1	1	2	0	0	0	1	0	0	1	0	0	1	0	0	0
ENSMUSG00000000732	Icosl	8	19	34	22	17	33	38	36	49	36	1	45	8	68	2	32
ENSMUSG00000000738	Spg7	81	341	303.002	210	205	396	230	332.001	355	203.001	54	489	236.999	570	69	393
ENSMUSG00000000739	Sult5a1	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000000740	Rpl13	471.738	2617.322	2762.068	1716.485	1226.23	2688.296	1572.912	2200.775	2819.665	1697.827	266.698	3336.19	1358.871	4132.519	550.382	2435.748
ENSMUSG00000000743	Chmp1a	126	741.978	774	499.978	371	752	443	719.989	746	449	92.001	1098.998	410.001	1172.967	116	784
ENSMUSG00000000751	Rpa1	94	426	518	346.999	253.999	488	346.999	441	542	274	49	690	307.999	772	103.001	634.999
ENSMUSG00000000753	Serpinf1	6	38	39	27	29	54	26.999	43	40	14	7	49	20.001	54	14	45
ENSMUSG00000000759	Tubgcp3	114.001	512.001	516.999	439	370	561	348.999	462	656	402	72	762	411.001	986	96.999	559
ENSMUSG00000000766	Oprm1	75	207	279	227.999	128.001	302	190	233	260	234.999	11	189.999	197	276.999	30.999	205
ENSMUSG00000000776	Polr3d	22	117	131	89	57	118	91	91	177	86	8	191	66	182	22	119
ENSMUSG00000000782	Tcf7	11	38	39	38	41	30	37	30	61	30	11	71	35	35	16	40
ENSMUSG00000000787	Ddx3x	565	2753	2350.001	1982	1807.001	3029	1891.001	2894.999	3355	1854.999	447	4769	1608	4318	882	2657
ENSMUSG00000000791	Il12rb1	1	4	3	1	1	15	4	6	0	14	1	2	3	9	0	8
ENSMUSG00000000792	Slc5a5	10	49	37	26	31	94	21	39	27	60	2	47	27	127	17	28
ENSMUSG00000000794	Kcnn3	254	741	887	821	536	807	736	817	1002	608	101	1026	736	1076	111	755
ENSMUSG00000000804	Usp32	406	1525	1847	1385	1082	1709	1312	1576.999	2359	1117	255	2138	1366	2132	437	1390
ENSMUSG00000000805	Car4	14	28	17	30	23	13	27	52	58	47	5	59	39	74	22	42
ENSMUSG00000000811	Txnrd3	4	26	32	18	13	25	9	16	44	14	7	42	20	64	6	25
ENSMUSG00000000817	Fasl	1	0	0	0	1	0	1	0	6	5	0	3	0	3	0	0
ENSMUSG00000000823	Znf512b	185	891.001	918	744	438	733.001	710	756.999	975.999	563	138	1158	701	1272.001	161	913
ENSMUSG00000000826	Dnajc5	885.999	3132	3877	2567	1696.001	3300.999	2081.999	3364.999	3795.001	2073.999	494	5165.999	2396	5237	511	3424.999
ENSMUSG00000000827	Tpd52l2	96.002	438	474	347	242	380	301.999	546	567	251.001	39	605.999	293.999	603	83.001	360
ENSMUSG00000000838	Fmr1	171.096	524.224	640.181	580	353.999	570.001	464.782	568.001	674	323	112	1056	483.762	696.098	116.265	543.999
ENSMUSG00000000861	Bcl11a	310	746	697.999	824.001	482	497	832.999	728.001	720.999	559	117	717.999	972	725.001	155	538.001
ENSMUSG00000000869	Il4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000000876	Pxmp4	18	84	99	65	42	93	54	69	148	60	15	142	51	137	7	90
ENSMUSG00000000881	Dlg3	293.999	1400	1494	1159.999	1021.001	1442	1079	1326	1786	923	228.778	2343.001	1034.001	2172	332.001	1739.575
ENSMUSG00000000884	Gnb1l	3.115	31	23	19	15	45	24.864	38	41	27	5	40.415	17	58	5	21.684
ENSMUSG00000000889	Dbh	0	1	0	0	0	0	0	3	0	0	0	3	0	0	1	0
ENSMUSG00000000901	Mmp11	1	16	21	9	6	19	12	15	24	7	2	20	12	39	0	22
ENSMUSG00000000902	Smarcb1	156.646	566.001	452	480.999	277.001	408	438	531.001	564.999	278.001	56	821.999	387	937	86	475
ENSMUSG00000000903	Vpreb3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0
ENSMUSG00000000915	Hip1r	173.999	814	824	495.001	475.999	853	521	765	997	486.001	132.336	1372.971	464.999	1391	151.659	905.001
ENSMUSG00000000916	Nsun5	21	103	100.999	51	60	98.999	79.001	70.999	59	66	12.115	138.999	73	150	15.826	104
ENSMUSG00000000934	Top1mt	14	116	81	96	61	88	53	85	104	75	17	115	58	239	18	113
ENSMUSG00000000938	Hoxa10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000000942	Hoxa4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000948	Gm38393	312.279	701.067	1016.095	933.476	617.293	828.339	772.554	762.938	674.651	621.792	129.057	888.09	782.214	893.946	135.968	434.939
ENSMUSG00000000957	Mmp14	11	66	51	37	23	87	31	24	70	60	6	75	62	135	8	66
ENSMUSG00000000958	Slc7a7	3	10	14	2	3	4	9	8	5	14	0	17	6	17	2	12
ENSMUSG00000000959	Oxa1l	74	369	398	248	150.999	293	191	291	307	213	34	476	194.999	519.001	58	370.999
ENSMUSG00000000976	Heatr6	74.001	262	270	233	138.999	258	211.001	250	230	214	43	335	203.738	414.999	35	284
ENSMUSG00000000982	Ccl3	0	0	1	0	0	0	1	5	0	0	0	4	0	0	1	0
ENSMUSG00000000983	Wfdc18	3	3	1	0	3	4	1	8	5	7	0	5	3	14	0	5
ENSMUSG00000001014	Icam4	1	5	3	0	3	0	0	0	16	2	0	2	1	0	0	2
ENSMUSG00000001016	Ilf2	150.001	777.999	809	557.001	420.999	642	453	786.001	674	515.001	111.024	1106.999	424	1266	110.986	661.999
ENSMUSG00000001017	Chtop	312	1529.001	1642	1120	800	1434.999	1033	1496	1766	812.999	193	2386.999	815.99	2044.999	249.001	1544
ENSMUSG00000001018	Snapin	92	482	395	297	226.001	423	272	391	392	210.001	54.977	620.999	287.001	633.001	70.014	438.001
ENSMUSG00000001020	S100a4	2	21	24	14	9	16	12	7	12	6	1	26	11	18	5	12
ENSMUSG00000001021	S100a3	0	10	12	13.001	3	11	13	18	9	8	2	20	2	10	0	8
ENSMUSG00000001023	S100a5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001025	S100a6	11	80	68	31	32	78	44	51	72	35	3	108	21	145	20	74
ENSMUSG00000001027	Scn4a	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001029	Icam2	0	10	17	6	7	23	3	6	9	10	6	24	8	13	2	2
ENSMUSG00000001034	Mapk7	53.001	124.999	122	98.001	64.001	126	102	93	137	44	22	187	111.001	251	20	144
ENSMUSG00000001036	Epn2	315	1231.999	1461.001	1103	878.999	1461.001	1093.001	1180	1475.999	742	169	1876	988.001	2081	251	1325.999
ENSMUSG00000001039	B9d1	9	104	85	43.001	45	65	62	65.001	122	27	14	114	49	117	16	82
ENSMUSG00000001052	Sec24b	159	443.001	525	503	258	435	467	398	431.999	306	80	476	478	562	97.999	373
ENSMUSG00000001053	N4bp3	13	92	83	42	72	127	47	61	92	42	13	122	66	125	8	99
ENSMUSG00000001054	Rmnd5b	50	388.999	455	224	163	300	255	328	395	147	40	543	245	546	78	353.999
ENSMUSG00000001056	Nhp2	47	235	232	128	100	196	145	180	187	81	24	297	124	221	35	185
ENSMUSG00000001062	Vps9d1	73	338	241	194.999	166.999	245.001	245.001	291	313.001	169	42	474.001	266.999	492	53	383
ENSMUSG00000001065	Zfp276	79	265	296	180	155.001	268	207	250.999	247	146.999	29	376	178.999	536	51.999	233
ENSMUSG00000001076	C1ql4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001082	Mfsd10	34	140	129.001	87.001	52.001	92.001	66	113.001	137.001	109.001	7	176.001	74.999	159.999	12	61.001
ENSMUSG00000001089	Luzp1	220	651	817.001	536.999	400	762	517	815.999	975.001	428	94	1215.999	484	919	151	701
ENSMUSG00000001095	Slc13a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001098	Kctd10	74	458	522	303	284	464	253	417	427	306	53	679	264	795	67.487	382
ENSMUSG00000001100	Poldip2	98	622	522.999	441	372	625	388.001	667.999	753	398	79	1092	381.999	994	126.001	609
ENSMUSG00000001103	Sebox	1	2	2	6	1	0	2	0	5	8	6	2	10	0	1	4
ENSMUSG00000001105	Ift20	50	240	282	131	111	291	168	272	265	138	41	365.999	144	335	73.999	313
ENSMUSG00000001119	Col6a1	469	2548	2211	1487	1087	1832	1510	1916	1940	1424	442	2923	1739	3545	294	3182
ENSMUSG00000001120	Pcbp3	52	322	221	173.999	127	232.001	192	199.001	229	197	47	426	185.999	419	44	294
ENSMUSG00000001123	Lgals9	15	25	15	20	13	43	14	15	45	12	5	38	25	39	3	14
ENSMUSG00000001127	Araf	283.999	1496	1538.001	1005.999	875.001	1540.999	886.999	1456.001	1415	953.001	153.999	2128	788	2524	279	1416.001
ENSMUSG00000001128	Cfp	17	45	38	32	11	20	22	23	44	44	1	31	40	71	6	50
ENSMUSG00000001131	Timp1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000001134	Uxt	14	39	46.999	30.001	16	22	25	50	50	26	4	36.999	17	43	5	67
ENSMUSG00000001138	Cnnm3	98.999	240	248	194	119	223.999	172	201	249	195	43	383.001	212	489.999	23.001	250
ENSMUSG00000001143	Lman2l	91.999	292	267	264	159	244	225.001	205	295	210.999	9	352.001	288	365.001	66	232.001
ENSMUSG00000001150	Mcm3ap	205	894	1001	791	543	841	718	772	1051	526	107	1140	736	1177	141	821
ENSMUSG00000001151	Pcnt	117	441	385	402	256	406	480	521	545	379	86	686	386	785	95	576
ENSMUSG00000001155	Ftcd	0	0	2	0	1	0	0	0	1	4	0	7	2	2	0	5
ENSMUSG00000001156	Mxd1	71	321	269	253	213	301	393	257	316	123	29	494	287	343	46	298
ENSMUSG00000001157	Gmcl1	123	272	272	266	175	296	241	303	289	201	46	420	241	411	62	284
ENSMUSG00000001158	Snrnp27	34	148.999	191	114.001	86.001	211	76	148	280	115	28	231	84	255	45	218
ENSMUSG00000001166	Oas1c	1	4	13	4	7	16	4	11	3	3	0	11	4	12	0	8
ENSMUSG00000001168	Oas1h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001173	Ocrl	289.001	831.001	1113.001	836.999	594	1066	844.001	941.001	932	767.999	111	1119	823	1458	209	859
ENSMUSG00000001175	Calm1	5736.999	24156	27827.999	17752.999	13271.999	24314	17284	27794.001	31269.001	12859	3483.703	40586.001	16310	31528.001	5288.355	26201.999
ENSMUSG00000001211	Agpat3	475.001	1599.999	1426	1331	961.001	1761	1227.999	1547	1897.998	971	227.001	2660	1249.001	2563.001	252	1706
ENSMUSG00000001225	Slc26a3	0	1	5	1	1	0	1	0	8	0	0	4	0	8	0	2
ENSMUSG00000001227	Sema6b	244	851	840	569	441	894	605	688	1106	613	136	1332	612	1298	159	954
ENSMUSG00000001228	Uhrf1	1	20	14	4	6	9	24	9	6	4	0	29	6	27	1	11
ENSMUSG00000001229	Dpp9	145	290	335	285	209	270	299	328	331	234	34	410	365	458	69	242
ENSMUSG00000001240	Ramp2	12	54.132	40	46.779	25	45	48	39	51.493	16	8	76	26	79	7	52
ENSMUSG00000001247	Lsr	4	25	16	20	7	20	24	19	39	27	6.557	34.999	14	55	1.007	43
ENSMUSG00000001248	Gramd1a	190	996	973.001	647	573	880	707	845	1046.001	752	152	1406.999	588	1770.001	159.062	1111.999
ENSMUSG00000001249	Hpn	4	4	1	3	2	6	8	1	9	6	0	6	1	3	0	3
ENSMUSG00000001260	Gabrg1	132	734	1159	648	671	800	406	659	877.001	824	89	1032	422	1882.999	229	531
ENSMUSG00000001270	Ckb	1737.755	11162.009	10324.061	6804.271	4218.832	10418.391	6333.831	8976.053	12441.092	4763.295	1021.809	17840.062	5610.918	13706.36	1170.981	12420.654
ENSMUSG00000001280	Sp1	145	511	725.001	473.001	355	614	499	587	605	386	48	661.999	428	902.001	96	473
ENSMUSG00000001281	Itgb7	0	8	4	4	1	7	0	5	18	0	0	10	2	11	0	4
ENSMUSG00000001285	Myg1	34.168	257.99	256.211	147.33	119	225.891	130.162	188.175	249.597	152.539	50	328.476	139.097	349.9	31.265	208.784
ENSMUSG00000001288	Rarg	16	98	69	54	40	61	69	46	100	48	12	130	73	66	7	73
ENSMUSG00000001289	Pfdn5	147.832	1004.856	1041.777	659.632	499.994	1037.109	646.826	1052.798	837.397	753.429	143	1389.457	551.889	1533.083	215.671	963.212
ENSMUSG00000001300	Efnb2	218	823	561	792	492	523	721	670	850	396	118	1086	633	751	121	891
ENSMUSG00000001305	Rrp15	23	132	120	99	71	102	69	93	111	81	14	172	92	144	17	123
ENSMUSG00000001313	Rnd2	129	635	654	400	385	791	399	436	756	326	65.94	982	362	995	104.154	691
ENSMUSG00000001323	Srr	194	731	864	563	311.999	807	579	779	745	414	105.95	1045.001	537.001	906	159.667	714
ENSMUSG00000001333	Sync	1	3	3	4	2	0	6	5	7	11	0	2	5	6	3.541	2
ENSMUSG00000001334	Fndc5	92	341	401	223	210	491	211	406	628	145	64	649	272	418	59	445
ENSMUSG00000001348	Acp5	0	1	0	0	1	0	3	0	0	0	0	0	1	1	0	0
ENSMUSG00000001349	Cnn1	0	1	1	0	1	0	7	3	11	0	2	2	1	9	1	0
ENSMUSG00000001366	Fbxo9	100	482	495.001	383	300	417	300	516.001	507	296	99	870	332	881.999	122	559
ENSMUSG00000001376	Ccdc132	218.999	959	1362.001	821	590.001	1195.999	745.001	1068.001	1113	521.999	133	1472.999	725.999	1291	291	924
ENSMUSG00000001380	Hars	93	652	677	406	352	535	316	627	630	403	71.444	897	350	1033	161	668
