gene_id	gene_name	Sham_oxy_1	Sham_oxy_2	Sham_oxy_3	Sham_oxy_4	Sham_Sal_1	Sham_Sal_2	Sham_Sal_3	Sham_Sal_4	SNI_oxy_1	SNI_oxy_2	SNI_oxy_3	SNI_oxy_4	SNI_Sal_1	SNI_Sal_2	SNI_Sal_3	SNI_Sal_4
ENSMUSG00000000131	Xpo6	361	979.001	690	1077.999	814.999	1616	1741	1046	1094.999	1046	1009	880	1135.001	139.001	953	165
ENSMUSG00000000134	Tfe3	83	191	114.001	234	146	379	390.001	288	280.999	241	252	242.999	258.001	27.001	196	45
ENSMUSG00000000142	Axin2	63.001	187	141.001	192.999	196.999	360.001	458	323	238.999	205	261	204	258.001	41	172	37
ENSMUSG00000000148	Brat1	68.001	157	133	258	154	346	378	226	253	214	162	165	333.999	34	182	33
ENSMUSG00000000149	Gna12	289	868	558	1071	775	1399	2018	1035	848	857	1192	827	1057	125.993	799	149.945
ENSMUSG00000000154	Slc22a18	1	4	2	2	0	3	8	4	4	2	8	1	11	0	10	0
ENSMUSG00000000157	Itgb2l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	Igsf5	0	2	2	6.423	8	6	1	4.142	2.182	4	0	0	6	0	4	0
ENSMUSG00000000167	Pih1d2	2	9	9	18	6	29.999	27.001	6	16	31	13	19	11	5	14	4
ENSMUSG00000000168	Dlat	224	698	458	892	456	1333	1154.999	809	845	1077	912	597.999	1192	120	572	155
ENSMUSG00000000171	Sdhd	144	398	314	606	397	824	713	510	519	674	485	383	639	54	347	151
ENSMUSG00000000182	Fgf23	2	2	1	9	3	4	13	2	2	2	0	1	1	0	4	0
ENSMUSG00000000183	Fgf6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	91	255	316	322	144	588	299	367	474	496	338	610	473	42.181	373	116.001
ENSMUSG00000000194	Gpr107	119	393	248	561	348	647.001	772.001	473	504.001	476	446	398	524.001	71	394.001	78.999
ENSMUSG00000000197	Nalcn	492	1957	1099	2391	1430	3294	3396	2125	2266	2687	2293	1647	2676	260	1497	384
ENSMUSG00000000202	Btbd17	15	91	58	101	79	204.999	217.999	143	135	129	148	58	189	10	51	18
ENSMUSG00000000204	Slfn4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
ENSMUSG00000000214	Th	83	42	53	411	48	98	110	64	68	77	88	58	101	7	26	12
ENSMUSG00000000215	Ins2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
ENSMUSG00000000216	Scnn1g	2	2	0	0	7	6	0	7	4	7	3	0	0	0	2	0
ENSMUSG00000000223	Drp2	281.001	797	469.001	818	640	1048	939	754.999	897.001	988	913	798	840.999	106	759.001	155
ENSMUSG00000000244	Tspan32	1	1	0	1	0	0	0	3	0	2	0	0	0	0	2	1
ENSMUSG00000000247	Lhx2	32	84	63	115.001	93	205	152	107	98	104	85	92	161	25	96	49
ENSMUSG00000000248	Clec2g	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSMUSG00000000253	Gmpr	69	360	254	341	172	708	500	485	507	502	445	318	443	39	239	63
ENSMUSG00000000263	Glra1	2	4	7	19	16	9	14	2	5	3	7	1	6	0	0	0
ENSMUSG00000000266	Mid2	180	615	349.001	570	433.999	728	761	450.999	576	780	614	364	665.999	89	425	109
ENSMUSG00000000275	Trim25	31	55	38	50	56	86	134	104	52	67	57	76	57	25	79	16
ENSMUSG00000000276	Dgke	230	870	605	1328	719	1593.999	1589.001	1046	967	1267.999	1116	744.001	1099	169	702.999	238
ENSMUSG00000000278	Scpep1	29	66	45	92	83	178	191	117	110	113	94	75	83	12	58	14
ENSMUSG00000000282	Mnt	60	152	122	113	176	129	221	125	154	122	91	172	138	24	193	37
ENSMUSG00000000290	Itgb2	8	30	29	52	42	105	90	67	53	47	38	44	96	4	27	6
ENSMUSG00000000295	Hddc2	19	86	82	110	79	157	207	120	107	133	133	74	134	11	77	26
ENSMUSG00000000296	Tpd52l1	21	119	92	130	75	258	228	200	142	172	194	128	213	18	82	23
ENSMUSG00000000301	Pemt	2	9	6	8	4	10	25	6	11	8	11	5	0	0	9	4
ENSMUSG00000000303	Cdh1	3	4	2	4	0	6	10	17	2	0	6	5	0	0	2	0
ENSMUSG00000000305	Cdh4	129	439	310	462	366	980	872	561	496	477	616	445	740	78	440	73
ENSMUSG00000000308	Ckmt1	205.999	842	673	1184.001	723.999	1953.999	1982.999	1504.999	1310	1669.999	1561	692	1672	137	660	279
ENSMUSG00000000317	Bcl6b	4	11	5	5	5	11	18	11	19	9	17	15	5	0	5	1
ENSMUSG00000000318	Clec10a	0	0	4	0	4	5	7	2	3	1	0	0	0	0	2	0
ENSMUSG00000000320	Alox12	3	2	0	8	4	4	1	7	2	4	27	4	5	0	4	2
ENSMUSG00000000325	Arvcf	47	182	108	239	162	356.001	516.001	281.001	260	298.001	253	175.999	254	49	144	37
ENSMUSG00000000326	Comt	149	450	260	630	326	921	844	811	711	612	610	459	619	92	403.001	55.999
ENSMUSG00000000339	Rtca	57	159.999	160.999	278	157	403	371.001	369	264.001	271	277	156	299	56	189.999	78.971
ENSMUSG00000000340	Dbt	33	170	106	183	107	379	377	242	212	201	203	202	248	35	127	28
ENSMUSG00000000346	Dazap2	193	430	337	581	363	921	883	614	647	691	649	431	594	70	460	161
ENSMUSG00000000355	Mcts1	46	184	103	267	109	354	263.999	199	243.001	255	200	120	279	17	132	68
ENSMUSG00000000359	Rem1	2	7	0	0	5	3	10	0	2	4	0	1	4	1	4	0
ENSMUSG00000000365	Rnf17	0	9	7	6	14	19	16	11	14	20	25	12	39	8	9	1
ENSMUSG00000000374	Trappc10	327	1010	713	1307	811	1946	1928	1228	1281	1385	1268	966	1463	211	1018	194
ENSMUSG00000000378	Ccm2	81	313	226	362.999	192	811.001	406	530.001	491.001	449	359	282	638	60	311	64
ENSMUSG00000000381	Wap	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	38.696	110.693	96.265	179.522	109.511	248.341	238.644	218.738	186.811	156.333	126.79	115.823	165.781	37	126.6	28
ENSMUSG00000000385	Tmprss2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000386	Mx1	0	0	1	6	0	2	5	2	5	3	0	1	6	0	0	0
ENSMUSG00000000392	Fap	2	5	3	8	1	4	5	5	1	5	4	2	6	0	3	2
ENSMUSG00000000394	Gcg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399	Ndufa9	147	482	391	712	378	1194	1075	721	693	921	798	498	981	72	395	149
ENSMUSG00000000402	Egfl6	3	4	3	18	2	40	17	18	10	5	7	2	29	4	12	2
ENSMUSG00000000409	Lck	5	16	6	13	12	26	26	16	25.999	32	8	20	2	0	10	4
ENSMUSG00000000411	Tssk3	0	0	1	0	0	3	0	0	3	0	3	3	0	1	4	0
ENSMUSG00000000416	Cttnbp2	633.999	1909	1023	2059.999	1060.001	2084	1431.001	1670.001	1754	2302.999	1978.001	2104.999	2190	276.753	1885	265.794
ENSMUSG00000000420	Galnt1	129	429	361	549	429.999	1006	949	739	585	686.999	667	445	732	120	377	142
ENSMUSG00000000435	Myf5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	Mkrn2	84	228	211	363	186	525	424	396	318	400	332	186	391	44.843	227	65.022
ENSMUSG00000000440	Pparg	1	4	3	13	4	9	18	3	6	6	8	9	13	2	11	3
ENSMUSG00000000441	Raf1	213	692.999	513	1043.001	585	1346.999	1212	879	867	1093	853	670.999	1034	131.157	602	164.978
ENSMUSG00000000486	Sept1	0	1	0	1	0	2	0	0	0	1	0	0	2	0	0	1
ENSMUSG00000000489	Pdgfb	31	80	64	106	73	170	180	116	99	102	117	106	163	10	76	20
ENSMUSG00000000530	Acvrl1	10	63	82	69	35	177	141	139	76	81.999	121	164	120.999	21	65	12
ENSMUSG00000000531	Grasp	72.759	214	155	245	84	521	360	407	236	173	199	292	263	22	241	48
ENSMUSG00000000532	Acvr1b	242	756	606	1107	654	1729	1618	974	1042	1057	983	714	1247	126	701	182
ENSMUSG00000000538	Tom1l2	573.999	1629	1162.001	1782	1345.001	2351	2914.001	1693	1760.999	2126	1860	1596	2078	254	1673.999	317
ENSMUSG00000000544	Gpa33	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000000552	Zfp385a	61	88	80	70	85	90	97	85	69	50	81	113	90	4	157	18
ENSMUSG00000000555	Itga5	14	42	47	60	15	107	20	90	38	61	59	117	99	6	88	8
ENSMUSG00000000560	Gabra2	252	713	364.001	612.999	547	990.001	941	668	520	736	655	637	755	97	686.001	122
ENSMUSG00000000561	Wdr77	153.162	468.759	314.841	554.118	423.363	805.913	977.427	526.926	539.739	580.541	432.632	401.019	502.813	58.949	341.26	113.028
ENSMUSG00000000562	Adora3	2	2	3	9	2	13	15	8	18	11	3	7	30	0	1	0
ENSMUSG00000000563	Atp5f1	334.865	1187.908	820.787	1624.659	893.814	2421.631	2142.821	1585.798	1653.719	1739.651	1532.917	1049.843	1788.871	257.984	962.374	466.818
ENSMUSG00000000567	Sox9	56	163	103	92	99	132	154	101	167	187	140	151	147	11	162	30
ENSMUSG00000000568	Hnrnpd	413.812	1297	872	1143.001	956.993	1541.001	1588.001	995.999	1143.001	1292	1246.999	1298.001	1535	164.071	1197	234.007
ENSMUSG00000000579	Dynlt1c	20.785	71.09	51.485	89.355	87.847	104.402	245.059	77.187	93.272	93.186	59.799	45.544	48.705	9.054	46.742	9.721
ENSMUSG00000000581	C1d	99.001	281.999	221	362.999	246.001	548	448	357.999	343	522	424	229	401	34	187	83.999
ENSMUSG00000000594	Gm2a	89	286	215	331	245	632	645	384	410	310	343	256	493	47	271	90
ENSMUSG00000000600	Krit1	307.999	903	539	902.999	637.999	1139.999	1094	751	882	1153	997	820	1152	126	716	140
ENSMUSG00000000605	Clcn4-2	342	1369	943	2181	1074	2961	2634	1814	1752	2031	1728	1263	2304	253	1182	313
ENSMUSG00000000606	Vmn2r88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	Grm6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000627	Sema4f	82	179	140	178	184	329	429	186	213	191	185	195	249	16	250	49
ENSMUSG00000000628	Hk2	6	12	19	30	14	62	57	45	33	45	37	33	60	2	29	2
ENSMUSG00000000631	Myo18a	412	1094.001	743	1261.001	879.001	2467.999	2374.999	1799.001	1351.002	1319	1670.001	1236	1974	223.001	1391.999	248
ENSMUSG00000000632	Sez6	924.002	2702	1459.999	1696	1455	3409	2874	2671	2887.001	2615	2121	2894.001	2757	316	3135.999	430
ENSMUSG00000000673	Haao	0	0	0	0	0	3	0	7	5	2	3	0	0	0	0	0
ENSMUSG00000000682	Cd52	3	1	2	11	3	7	15	6	15	10	5	3	24	0	11	1
ENSMUSG00000000686	Abhd15	8	14	4	7	5	10	9	19	16	20	22	10	3	4	7	0
ENSMUSG00000000690	Hoxb6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000693	Loxl3	3	17	22	33	27	70.999	99	42	53	38	40	11	35	3.277	18	6.874
ENSMUSG00000000701	Tcl1b5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	Btn1a1	0	1	1	3	2	0	5	0	0	0	0	0	6	0	0	0
ENSMUSG00000000708	Kat2b	117	383	268	490	332	642	741	460.998	420	570	580	356.951	545	55	292	77
ENSMUSG00000000711	Rab5b	201.965	872.631	736.887	1348.82	842	1953.112	2133.697	1388.824	1333.456	1634.617	1376.22	903.941	1472.763	164	754.827	205
ENSMUSG00000000724	Cryba1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000730	Dnmt3l	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000000731	Aire	1	0	0	0	1	0	0	0	1	2	0	1	0	0	1	0
ENSMUSG00000000732	Icosl	8	22	17	36	36	45	68	32	19	34	33	38	49	1	8	2
ENSMUSG00000000738	Spg7	81	210	205.001	332.001	202.999	488.999	570.001	393	341	302.999	395.999	230	355	53.999	236.998	69
ENSMUSG00000000739	Sult5a1	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
ENSMUSG00000000740	Rpl13	471.738	1716.366	1226.227	2200.781	1697.819	3336.175	4132.55	2435.678	2617.323	2762.077	2688.308	1572.916	2819.666	266.697	1358.905	550.384
ENSMUSG00000000743	Chmp1a	126	499.978	370.999	719.989	449	1098.998	1172.967	784	741.978	774	752	443	746	92.001	410	116
ENSMUSG00000000751	Rpa1	94	346.999	254	441	274	690	772.001	635.001	426	518	487.999	346.999	542	49	308.001	102.999
ENSMUSG00000000753	Serpinf1	6	27	29	43	14.001	49	54	45	38	39	54	27	40	7	20	14
ENSMUSG00000000759	Tubgcp3	114	439	369.999	462	402.001	762	986	559	512.001	516.998	561	348.999	655.999	72	411	97
ENSMUSG00000000766	Oprm1	75	227.999	128	233	235	190	276.999	204.999	207.001	279.001	302	190.001	260.001	11	197	31
ENSMUSG00000000776	Polr3d	22	89	57	91	86	191	182	119	117	131	118	91	177	8	66	22
ENSMUSG00000000782	Tcf7	11	38	41	30	30	71	35	40	38	39	30	37	61	11	35	16
ENSMUSG00000000787	Ddx3x	565.001	1982	1807.001	2895.001	1855	4769	4318.001	2656.999	2753	2349.999	3029	1890.999	3355.001	447	1608.001	882
ENSMUSG00000000791	Il12rb1	1	1	1	6	14	2	9	8	4	3	15	4	0	1	3	0
ENSMUSG00000000792	Slc5a5	10	26	31	39	60	47	127	28	49	37	94	21	27	2	27	17
ENSMUSG00000000794	Kcnn3	254	821	536	817	608	1026	1076	755	741	887	807	736	1002	101	736	111
ENSMUSG00000000804	Usp32	406	1385	1082	1577.001	1117	2138	2132	1390	1525	1847	1709	1312	2359	255	1366	437
ENSMUSG00000000805	Car4	14	30	23	52	47	59	74	42	28	17	13	27	58	5	39	22
ENSMUSG00000000811	Txnrd3	4	18	13	16	14	42	64	25	26	32	25	9	44	7	20	6
ENSMUSG00000000817	Fasl	1	0	1	0	5	3	3	0	0	0	0	1	6	0	0	0
ENSMUSG00000000823	Znf512b	185	743.999	438	757	563	1158	1274	912.999	891	917.999	733	710	976	138	701.001	161
ENSMUSG00000000826	Dnajc5	886	2566.999	1696	3365	2074	5166	5237	3424.999	3131.999	3876.999	3301	2082	3795	494	2395.999	511
ENSMUSG00000000827	Tpd52l2	96	347	241.999	546	251	606	603.001	360	437.999	473.999	380	302.001	566.999	38.999	294.001	82.999
ENSMUSG00000000838	Fmr1	171.095	580	354	568	323	1056.001	696.098	544	524.225	640.183	570.001	464.782	673.999	112	483.762	116.265
ENSMUSG00000000861	Bcl11a	310	824	482	728.001	558.999	717.999	725	538	745.999	698	496.999	832.999	721	117	972.001	154.999
ENSMUSG00000000869	Il4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000000876	Pxmp4	18	65	42	69	60	142	137	90	84	99	93	54	148	15	51	7
ENSMUSG00000000881	Dlg3	294.001	1160	1020.999	1326	922.999	2343.001	2172	1739.575	1400	1494.001	1442	1079	1786	228.78	1034.001	332.001
ENSMUSG00000000884	Gnb1l	3.115	19	15	38	27	40.414	58	21.683	31	23	45	24.864	41	5	17	5
ENSMUSG00000000889	Dbh	0	0	0	3	0	3	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000000901	Mmp11	1	9	6	15	7	20	39	22	16	21	19	12	24	2	12	0
ENSMUSG00000000902	Smarcb1	156.646	481	277	531	278	822	937	475	566.001	452	407.999	438.001	565	56	386.999	86
ENSMUSG00000000903	Vpreb3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1
ENSMUSG00000000915	Hip1r	174	495	476	768	486	1374.972	1391	906	815	824	853	522	999	132.343	465	151.677
ENSMUSG00000000916	Nsun5	21	51	60	70.999	66	139	150	104	102.999	100.999	99.001	78.999	59	12.122	72.999	15.847
ENSMUSG00000000934	Top1mt	14	96	61	85	75	115	239	113	116	81	88	53	104	17	58	18
ENSMUSG00000000938	Hoxa10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000942	Hoxa4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000948	Gm38393	312.284	933.475	617.299	762.94	621.787	888.092	893.949	434.941	701.071	1016.106	828.346	772.54	674.65	129.056	782.214	135.967
ENSMUSG00000000957	Mmp14	11	36.999	23	24	60	75	135	66	66	51	87	31	70	6	62	8
ENSMUSG00000000958	Slc7a7	3	2	3	8	14	17	17	12	10	14	4	9	5	0	6	2
ENSMUSG00000000959	Oxa1l	74	248.001	151.001	291	213.001	476.001	519	371	369	398	293	191	307	34	195	58
ENSMUSG00000000976	Heatr6	74	233	138.999	250	214	335	415	284	261.999	270	258	210.999	230	43	203.74	35
ENSMUSG00000000982	Ccl3	0	0	0	5	0	4	0	0	0	1	0	1	0	0	0	1
ENSMUSG00000000983	Wfdc18	3	0	3	8	7	5	14	5	3	1	4	1	5	0	3	0
ENSMUSG00000001014	Icam4	1	0	3	0	2	2	0	2	5	3	0	0	16	0	1	0
ENSMUSG00000001016	Ilf2	150	557	421	786	515	1107.001	1266	662.001	778	809	642	453.001	674	111.028	424.001	110.969
ENSMUSG00000001017	Chtop	312.001	1120	800	1496.001	813	2387	2044.999	1543.999	1528.999	1642	1434.999	1033.001	1766	193.001	815.988	248.999
ENSMUSG00000001018	Snapin	92	296.999	226	390.999	210	620.999	633	438	482.001	395	423	272	391.999	54.972	287	70.032
ENSMUSG00000001020	S100a4	2	14	9	7	6	26	18	12	21	24	16	12	12	1	11	5
ENSMUSG00000001021	S100a3	0	13.001	3	18	8	20	10	8	10	12	11	13	9	2	2	0
ENSMUSG00000001023	S100a5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000001025	S100a6	11	31	32	51	35	108	145	74	80	68	78	44	72	3	21	20
ENSMUSG00000001027	Scn4a	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001029	Icam2	0	6	7	6	10	24	13	2	10	17	23	3	9	6	8	2
ENSMUSG00000001034	Mapk7	53	98	64	92.999	44	187	251.001	144	124.999	122.001	126	102	137	22	111	20
ENSMUSG00000001036	Epn2	315	1103	879	1180	742.001	1875.999	2081.001	1326	1232	1461	1461	1093	1476.001	169	988	251
ENSMUSG00000001039	B9d1	9	43	45	65.001	27	114	117	82	104	85	64.999	61.999	122	14	49	16
ENSMUSG00000001052	Sec24b	159	503	258	398.001	305.999	476	562	373	443.001	525	435	466.999	432	80	478	98.001
ENSMUSG00000001053	N4bp3	13	42	72	61	42	122	125	99	92	83	127	47	92	13	66	8
ENSMUSG00000001054	Rmnd5b	50	224	163	328	147	543	545.999	354	389	455	300	255	395	40	245	78
ENSMUSG00000001056	Nhp2	47	128	100	180	81	297	221	185	235	232	196	145	187	24	124	35
ENSMUSG00000001062	Vps9d1	73	194.999	166.999	291	169	474.001	492	383	337.999	240.999	245.001	245.001	312.999	41.999	267.001	52.999
ENSMUSG00000001065	Zfp276	79	180	155	251	147	376	536.001	233	265	295.999	267.999	207.001	247	29	179	52.001
ENSMUSG00000001076	C1ql4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001082	Mfsd10	34	87	52.001	113.001	109	176.001	160	61.001	140	129	92	65.999	137	7	75	12
ENSMUSG00000001089	Luzp1	220	537	400	816.001	428	1216	919	701	650.999	817	762	517	975	94	484	151
ENSMUSG00000001095	Slc13a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001098	Kctd10	74	303	283.999	416.999	306	678.999	795	382.001	458	522.001	463.999	253	427	53	264	67.852
ENSMUSG00000001100	Poldip2	98	441	372	667.999	397.999	1092	994	609.001	622	522.999	625	388	753	79	382	126.001
ENSMUSG00000001103	Sebox	1	6	1	0	8	2	0	4	2	2	0	2	5	6	10	1
ENSMUSG00000001105	Ift20	50	130.999	111	272	138	366	335	313	240	282	291	168	265	41	143.999	74.001
ENSMUSG00000001119	Col6a1	469	1487	1087	1916	1424	2923	3545	3182	2548	2211	1832	1510	1940	442	1739	294
ENSMUSG00000001120	Pcbp3	52	174	127	199	197	426	418.999	294.001	321.999	221	231.999	192.001	229	47	185.999	44
ENSMUSG00000001123	Lgals9	15	20	13	15	12	38	39	14	25	15	43	14	45	5	25	3
ENSMUSG00000001127	Araf	284	1006	875	1456	953.001	2128	2524.001	1415.999	1496.001	1538	1541	886.999	1414.999	153.999	788	279
ENSMUSG00000001128	Cfp	17	32	11	23	44	31	71	50	45	38	20	22	44	1	40	6
ENSMUSG00000001131	Timp1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001134	Uxt	14	30	16	50	26	37	43	67	39	47	22	25	49.999	4	17	5
ENSMUSG00000001138	Cnnm3	99	194	119	200.999	195	383	490	250	240	248	224	171.999	249	43	212	23
ENSMUSG00000001143	Lman2l	92	264	159	204.999	210.999	352.001	365.001	232.001	292	267	244	225.001	294.999	9	288.001	66
ENSMUSG00000001150	Mcm3ap	205	791	543	772	526	1140	1177	821	894	1001	841	718	1051	107	736	141
ENSMUSG00000001151	Pcnt	117	402	256	521	379	686	785	576	441	385	406	480	545	86	386	95
ENSMUSG00000001155	Ftcd	0	0	1	0	4	7	2	5	0	2	0	0	1	0	2	0
ENSMUSG00000001156	Mxd1	71	253	213	257	123	494	343	298	321	269	301	393	316	29	287	46
ENSMUSG00000001157	Gmcl1	123	266	175	303	201	420	411	284	272	272	296	241	289	46	241	62
ENSMUSG00000001158	Snrnp27	34	114.001	86.001	148	115	231	255	218	149	191	211	76	280	28	84	45
ENSMUSG00000001166	Oas1c	1	4	7	11	3	11	12	8	4	13	16	4	3	0	4	0
ENSMUSG00000001168	Oas1h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001173	Ocrl	289	837	594	941.001	768.001	1119	1457.999	859	831	1112.999	1066	844	932	111	823.001	209.001
ENSMUSG00000001175	Calm1	5737	17753	13272	27794	12859	40585.999	31528.001	26202	24156	27828.001	24314	17284	31268.999	3483.515	16310	5288.659
ENSMUSG00000001211	Agpat3	474.999	1331	961	1547	971	2659.999	2562.999	1706	1600	1426.001	1761	1228	1897.999	227	1249	252
ENSMUSG00000001225	Slc26a3	0	1	1	0	0	4	8	2	1	5	0	1	8	0	0	0
ENSMUSG00000001227	Sema6b	244	569	441	688	613	1332	1298	954	851	840	894	605	1106	136	612	159
ENSMUSG00000001228	Uhrf1	1	4	6	9	4	29	27	11	20	14	9	24	6	0	6	1
ENSMUSG00000001229	Dpp9	145	285	209	328	234	410	458	242	290	335	270	299	331	34	365	69
ENSMUSG00000001240	Ramp2	12	46.78	25	39	16	76	79.001	52	54.133	40.001	44.999	48	51.491	8	26	7
ENSMUSG00000001247	Lsr	4	20	7	19	27	35	55	43	25	16	20	24	39	6.569	14	1.005
ENSMUSG00000001248	Gramd1a	190	647.001	573	845	752	1407.001	1770	1112.001	996	972.999	880	706.999	1046	152	588	159.071
ENSMUSG00000001249	Hpn	4	3	2	1	6	6	3	3	4	1	6	8	9	0	1	0
ENSMUSG00000001260	Gabrg1	132	648	671.001	659	824	1032.001	1883	530.999	734	1159	799.999	406	877	88.999	422	229
ENSMUSG00000001270	Ckb	1737.755	6804.271	4218.832	8976.052	4763.295	17840.061	13706.36	12420.653	11162.01	10323.95	10418.389	6333.831	12441.092	1021.809	5610.889	1170.981
ENSMUSG00000001280	Sp1	145	473	355	587	386	662.001	901.999	473	511	725	614	499	605	48	428	96
ENSMUSG00000001281	Itgb7	0	4	1	5	0	10	11	4	8	4	7	0	18	0	2	0
ENSMUSG00000001285	Myg1	34.168	147.329	119.001	188.175	152.54	328.477	349.9	208.784	257.989	256.212	225.89	130.162	249.596	50	139.097	31.265
ENSMUSG00000001288	Rarg	16	53.999	40	46	48	130	66	73	98	69	61	69	100	12	73	7
ENSMUSG00000001289	Pfdn5	147.831	659.633	499.996	1052.798	753.427	1389.456	1533.083	963.211	1004.858	1041.778	1037.11	646.826	837.397	142.999	551.889	215.672
ENSMUSG00000001300	Efnb2	218	792	492	670	396	1086	751	891	823	561	523	721	850	118	633	121
ENSMUSG00000001305	Rrp15	23	99	71	93	81	172	144	123	132	120	102	69	111	14	92	17
ENSMUSG00000001313	Rnd2	129	400	385	436	326	982	995	691	635	654	791	399	756	65.943	362	104.156
ENSMUSG00000001323	Srr	194	563	312.001	778.999	414	1045.001	905.999	714	731	863.999	807	578.999	745	105.873	537.001	159.534
ENSMUSG00000001333	Sync	1	4	2	5	11	2	6	2	3	3	0	6	7	0	5	3.546
ENSMUSG00000001334	Fndc5	92	223	210	406	145	649	418	445	341	401	491	211	628	64	272	59
ENSMUSG00000001348	Acp5	0	0	1	0	0	0	1	0	1	0	0	3	0	0	1	0
ENSMUSG00000001349	Cnn1	0	0	1	3	0	2	9	0	1	1	0	7	11	2	1	1
ENSMUSG00000001366	Fbxo9	100	382.999	299.999	516.001	296	869.999	882	559	482	495	417	300	507.001	99.001	332	122
ENSMUSG00000001376	Ccdc132	218.999	821.001	589.999	1068	522	1473	1291	924	959	1362	1196	745	1113.001	133	725.999	291
ENSMUSG00000001380	Hars	93	406	352	627	403	897	1033	668	652	677	535	316	630	71.444	350	161
