task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
7	cb/37b88f	15610282	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (Nac_Sal_6)	COMPLETED	0	2025-09-30 21:49:45.846	3m 9s	2m 36s	59.9%	76.5 MB	80.2 MB	6.6 GB	1.9 KB
4	e1/e7b84d	15610286	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (Nac_oxy_8)	COMPLETED	0	2025-09-30 21:49:47.603	3m 12s	2m 8s	59.8%	76.5 MB	80 MB	5.4 GB	1.9 KB
20	72/2dfeda	15610297	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Nac_Sal_3)	COMPLETED	0	2025-09-30 21:52:12.053	2m 18s	2m 8s	184.8%	3.3 GB	40.3 GB	3.3 GB	4 MB
22	c1/b95f3a	15610298	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Nac_oxy_4)	COMPLETED	0	2025-09-30 21:52:15.116	2m 35s	2m 11s	187.9%	7.7 GB	40.3 GB	3.7 GB	3.9 MB
25	2b/a5fd69	15610304	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Nac_Sal_4)	COMPLETED	0	2025-09-30 21:52:31.388	2m 53s	2m 43s	177.1%	4 GB	40.3 GB	4.3 GB	3.9 MB
28	b0/174353	15610307	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Nac_oxy_6)	COMPLETED	0	2025-09-30 21:52:32.868	2m 52s	2m 23s	188.3%	3.9 GB	40.3 GB	3.4 GB	3.9 MB
32	4f/74d3e5	15610312	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Nac_Sal_7)	COMPLETED	0	2025-09-30 21:52:35.565	3m 14s	2m 19s	185.5%	3.4 GB	40.3 GB	3.5 GB	4 MB
27	d8/216bb6	15610306	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Nac_Sal_2)	COMPLETED	0	2025-09-30 21:52:32.107	3m 23s	2m 55s	188.9%	6.6 GB	40.3 GB	4 GB	4.1 MB
31	21/01fa66	15610314	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Nac_oxy_5)	COMPLETED	0	2025-09-30 21:52:36.224	3m 19s	2m 18s	183.0%	5.6 GB	40.3 GB	3.8 GB	3.9 MB
35	1f/c52d3a	15610316	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Nac_oxy_1)	COMPLETED	0	2025-09-30 21:52:40.625	3m 19s	2m 9s	183.0%	4.4 GB	40.3 GB	3.5 GB	4 MB
36	a0/3eda73	15610317	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Nac_oxy_7)	COMPLETED	0	2025-09-30 21:52:41.677	3m 53s	2m 11s	185.3%	3.6 GB	40.3 GB	3.8 GB	4 MB
40	2d/2acc1b	15610324	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Nac_Sal_5)	COMPLETED	0	2025-09-30 21:52:52.038	4m 8s	2m 27s	186.3%	3.7 GB	40.2 GB	4.2 GB	4 MB
43	23/dd4ab8	15610328	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Nac_oxy_3)	COMPLETED	0	2025-09-30 21:52:55.206	4m 10s	2m 8s	185.0%	3.9 GB	40.3 GB	4.1 GB	3.9 MB
44	ee/aec294	15610330	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Nac_oxy_2)	COMPLETED	0	2025-09-30 21:52:56.868	4m 18s	2m 19s	181.9%	10.1 GB	40.3 GB	3.7 GB	4 MB
38	f1/5da37d	15610327	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Nac_Sal_8)	COMPLETED	0	2025-09-30 21:52:54.370	4m 25s	2m 32s	188.1%	4.3 GB	40.3 GB	4.3 GB	4 MB
47	17/dccbf2	15610333	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Nac_Sal_1)	COMPLETED	0	2025-09-30 21:52:58.065	5m 7s	2m 38s	192.7%	3.6 GB	40.2 GB	3.8 GB	3.9 MB
50	40/474edc	15610336	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Nac_oxy_8)	COMPLETED	0	2025-09-30 21:53:00.203	5m 15s	2m 19s	193.7%	8.1 GB	40.3 GB	3.8 GB	4 MB
49	19/104c1f	15610334	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Nac_Sal_6)	COMPLETED	0	2025-09-30 21:52:58.493	5m 56s	3m 24s	192.0%	10.2 GB	40.2 GB	4.6 GB	3.9 MB
21	96/78a390	15610296	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Nac_Sal_3)	COMPLETED	0	2025-09-30 21:52:10.239	8m 40s	8m 19s	592.3%	1.9 GB	9 GB	102 GB	98.5 GB
52	e7/33208b	15610383	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (Nac_Sal_3)	COMPLETED	0	2025-09-30 22:00:51.049	1m 34s	1m 14s	88.5%	76.3 MB	80 MB	4 GB	1.9 KB
23	64/a2770a	15610299	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Nac_oxy_4)	COMPLETED	0	2025-09-30 21:52:15.246	10m 10s	9m 26s	703.2%	1.9 GB	9 GB	95.5 GB	91.7 GB
55	fb/b076ec	15610391	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (Nac_oxy_4)	COMPLETED	0	2025-09-30 22:02:30.315	1m 25s	1m 16s	87.8%	76.5 MB	80 MB	5 GB	1.9 KB
53	fa/e80c6d	15610390	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Nac_Sal_3)	COMPLETED	0	2025-09-30 22:02:26.806	1m 38s	1m 25s	96.0%	10.3 MB	14.1 MB	4 GB	123 MB
24	cb/ada88b	15610305	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Nac_Sal_4)	COMPLETED	0	2025-09-30 21:52:31.737	11m 58s	10m 58s	703.3%	1.4 GB	9 GB	110.5 GB	106.1 GB
26	61/6da7d3	15610309	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Nac_Sal_2)	COMPLETED	0	2025-09-30 21:52:34.443	12m 40s	8m 55s	689.6%	1.8 GB	9 GB	104.8 GB	100.7 GB
56	8f/c41f3d	15610399	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Nac_oxy_4)	COMPLETED	0	2025-09-30 22:03:56.009	2m 4s	1m 48s	98.0%	10.3 MB	13.7 MB	5 GB	169.8 MB
57	da/c7c62e	15610401	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (Nac_Sal_4)	COMPLETED	0	2025-09-30 22:04:30.759	1m 34s	1m 27s	91.4%	76.7 MB	80 MB	5.7 GB	1.9 KB
29	84/1e3738	15610308	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Nac_oxy_6)	COMPLETED	0	2025-09-30 21:52:33.601	13m 41s	10m 37s	654.8%	1.4 GB	9.1 GB	90.2 GB	86.7 GB
58	af/9a0c97	15610405	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (Nac_Sal_2)	COMPLETED	0	2025-09-30 22:05:15.688	1m 29s	1m 18s	89.5%	76.4 MB	80.2 MB	4.7 GB	1.9 KB
33	87/e40f95	15610310	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Nac_Sal_7)	COMPLETED	0	2025-09-30 21:52:34.997	14m 50s	10m 35s	579.5%	1.3 GB	9.1 GB	111.8 GB	108.2 GB
60	f4/a056be	15610411	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (Nac_oxy_6)	COMPLETED	0	2025-09-30 22:06:15.795	1m 24s	1m 9s	90.2%	76.5 MB	80 MB	4.6 GB	1.9 KB
34	19/50508d	15610318	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Nac_oxy_1)	COMPLETED	0	2025-09-30 21:52:42.170	15m 33s	7m 16s	601.4%	2.3 GB	9.1 GB	94.1 GB	90.5 GB
59	77/0ffa77	15610410	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Nac_Sal_4)	COMPLETED	0	2025-09-30 22:06:05.411	2m 20s	2m 2s	94.3%	10.5 MB	14.1 MB	5.7 GB	168.4 MB
61	6e/08a263	15610417	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Nac_Sal_2)	COMPLETED	0	2025-09-30 22:06:45.484	1m 44s	1m 37s	95.0%	10.6 MB	14.3 MB	4.7 GB	127.9 MB
30	9d/464bc1	15610311	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Nac_oxy_5)	COMPLETED	0	2025-09-30 21:52:35.292	16m 5s	9m 36s	672.2%	1.4 GB	9.1 GB	105.3 GB	101.4 GB
62	07/ae4c02	15610426	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (Nac_Sal_7)	COMPLETED	0	2025-09-30 22:07:26.194	1m 34s	1m 23s	85.7%	76.3 MB	80 MB	4.5 GB	1.9 KB
63	60/a3ebe9	15610428	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Nac_oxy_6)	COMPLETED	0	2025-09-30 22:07:41.259	1m 54s	1m 47s	93.0%	9.7 MB	13.6 MB	4.6 GB	165.3 MB
64	55/4d3ffb	15610432	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (Nac_oxy_1)	COMPLETED	0	2025-09-30 22:08:16.117	1m 24s	1m 11s	89.6%	76.4 MB	80 MB	3.6 GB	1.9 KB
65	1f/fce328	15610437	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (Nac_oxy_5)	COMPLETED	0	2025-09-30 22:08:40.445	1m 30s	1m 22s	89.0%	76.5 MB	80 MB	5 GB	1.9 KB
66	14/3172c3	15610441	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Nac_Sal_7)	COMPLETED	0	2025-09-30 22:09:00.267	1m 35s	1m 28s	96.8%	10.7 MB	14.3 MB	4.5 GB	125.5 MB
67	0c/1930bd	15610454	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Nac_oxy_1)	COMPLETED	0	2025-09-30 22:09:40.624	1m 19s	1m 14s	97.2%	10.7 MB	14.3 MB	3.6 GB	101.4 MB
37	6e/d81350	15610319	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Nac_oxy_7)	COMPLETED	0	2025-09-30 21:52:42.695	19m 2s	9m 14s	703.6%	1.4 GB	9 GB	95.8 GB	92 GB
68	16/8f99ef	15610462	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Nac_oxy_5)	COMPLETED	0	2025-09-30 22:10:10.282	2m	1m 53s	92.0%	10.6 MB	14 MB	5 GB	151.2 MB
39	09/dbb07c	15610323	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Nac_Sal_8)	COMPLETED	0	2025-09-30 21:52:50.387	20m 20s	10m 15s	693.6%	1.5 GB	9 GB	109.1 GB	104.7 GB
69	05/a89cb4	15610481	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (Nac_oxy_7)	COMPLETED	0	2025-09-30 22:11:46.393	1m 44s	1m 29s	78.5%	76.4 MB	80 MB	4.8 GB	1.9 KB
41	e8/8f5780	15610325	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Nac_Sal_5)	COMPLETED	0	2025-09-30 21:52:52.476	21m 53s	10m 7s	680.1%	1.6 GB	9 GB	107.6 GB	103.3 GB
70	3a/82afb5	15610500	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (Nac_Sal_8)	COMPLETED	0	2025-09-30 22:13:11.682	1m 44s	1m 32s	85.8%	76.7 MB	80 MB	5.3 GB	1.9 KB
71	60/5dd367	15610506	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Nac_oxy_7)	COMPLETED	0	2025-09-30 22:13:30.761	1m 55s	1m 45s	94.0%	10 MB	13.9 MB	4.8 GB	153.6 MB
42	2f/aa93cb	15610326	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Nac_oxy_3)	COMPLETED	0	2025-09-30 21:52:52.943	22m 48s	10m 17s	705.1%	1.4 GB	9 GB	105.5 GB	101.4 GB
45	db/bb6316	15610332	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Nac_oxy_2)	COMPLETED	0	2025-09-30 21:52:57.392	22m 53s	9m 2s	708.8%	1.6 GB	9 GB	97 GB	93.2 GB
46	39/17d2df	15610329	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Nac_Sal_1)	COMPLETED	0	2025-09-30 21:52:56.499	23m 19s	9m 53s	702.5%	1.7 GB	9.1 GB	101.1 GB	97.2 GB
72	b7/5eda5b	15610525	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (Nac_Sal_5)	COMPLETED	0	2025-09-30 22:14:47.425	1m 43s	1m 33s	82.2%	76.5 MB	80.2 MB	5.1 GB	1.9 KB
73	94/4a42d5	15610534	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Nac_Sal_8)	COMPLETED	0	2025-09-30 22:14:56.095	2m 19s	2m 1s	90.0%	10.4 MB	14.1 MB	5.3 GB	156.9 MB
74	8c/46211e	15610543	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (Nac_oxy_3)	COMPLETED	0	2025-09-30 22:15:41.918	1m 44s	1m 37s	81.2%	76.5 MB	80 MB	5.5 GB	1.9 KB
75	07/f2aea0	15610548	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (Nac_oxy_2)	COMPLETED	0	2025-09-30 22:15:50.674	1m 55s	1m 29s	78.6%	76.6 MB	80 MB	4.8 GB	1.9 KB
76	c4/41f368	15610549	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (Nac_Sal_1)	COMPLETED	0	2025-09-30 22:16:17.498	1m 43s	1m 36s	79.6%	76.7 MB	80 MB	5.1 GB	1.9 KB
77	2a/f15749	15610554	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Nac_Sal_5)	COMPLETED	0	2025-09-30 22:16:33.256	1m 57s	1m 52s	88.2%	10.5 MB	14.4 MB	5.1 GB	138.8 MB
51	91/6a75d6	15610337	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Nac_oxy_8)	COMPLETED	0	2025-09-30 21:53:01.358	26m 9s	11m 32s	638.8%	1.8 GB	9.1 GB	97.1 GB	93.3 GB
48	47/0aa845	15610335	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Nac_Sal_6)	COMPLETED	0	2025-09-30 21:52:58.725	26m 17s	12m 3s	677.8%	1.5 GB	9.1 GB	121.3 GB	116.6 GB
78	fb/f18f22	15610563	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Nac_oxy_3)	COMPLETED	0	2025-09-30 22:17:28.368	2m 27s	2m 15s	83.6%	10.3 MB	13.9 MB	5.5 GB	173.6 MB
79	ff/ec2894	15610571	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Nac_oxy_2)	COMPLETED	0	2025-09-30 22:17:46.788	2m 14s	2m 4s	82.0%	10.1 MB	13.9 MB	4.8 GB	151 MB
80	88/24ed03	15610576	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Nac_Sal_1)	COMPLETED	0	2025-09-30 22:18:01.570	2m 24s	2m 18s	79.9%	10.4 MB	13.9 MB	5.1 GB	160.7 MB
81	6a/4d5fb9	15610592	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (Nac_oxy_8)	COMPLETED	0	2025-09-30 22:19:12.329	2m 13s	2m 7s	63.2%	76.7 MB	80 MB	4.8 GB	1.9 KB
82	7d/6bdc78	15610593	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (Nac_Sal_6)	COMPLETED	0	2025-09-30 22:19:16.058	3m 5s	2m 54s	57.1%	76.5 MB	80.2 MB	6.2 GB	1.9 KB
