Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
Nac_oxy_3_2	(10.0, 1.0)	(11.0, 14.0)	(12.0, 573.0)	(13.0, 5733.0)	(14.0, 25374.0)	(15.0, 57009.0)	(16.0, 89925.0)	(17.0, 119620.0)	(18.0, 145853.0)	(19.0, 173235.0)	(20.0, 203400.0)	(21.0, 237120.0)	(22.0, 273446.0)	(23.0, 313626.0)	(24.0, 356440.0)	(25.0, 410655.0)	(26.0, 464463.0)	(27.0, 508328.0)	(28.0, 572254.0)	(29.0, 646354.0)	(30.0, 731681.0)	(31.0, 834471.0)	(32.0, 957059.0)	(33.0, 1107962.0)	(34.0, 1295575.0)	(35.0, 1534200.0)	(36.0, 1841365.0)	(37.0, 2236124.0)	(38.0, 2708165.0)	(39.0, 3156808.0)	(40.0, 2338334.0)
Nac_oxy_4_1	(14.0, 2.0)	(15.0, 35.0)	(16.0, 148.0)	(17.0, 431.0)	(18.0, 983.0)	(19.0, 1738.0)	(20.0, 3323.0)	(21.0, 5753.0)	(22.0, 10045.0)	(23.0, 15899.0)	(24.0, 25005.0)	(25.0, 50940.0)	(26.0, 60909.0)	(27.0, 72902.0)	(28.0, 97333.0)	(29.0, 127219.0)	(30.0, 167131.0)	(31.0, 216394.0)	(32.0, 279979.0)	(33.0, 359153.0)	(34.0, 467991.0)	(35.0, 624826.0)	(36.0, 857085.0)	(37.0, 1247498.0)	(38.0, 1997291.0)	(39.0, 4049137.0)	(40.0, 10782153.0)				
Nac_oxy_4_2	(11.0, 34.0)	(12.0, 428.0)	(13.0, 4156.0)	(14.0, 18823.0)	(15.0, 44195.0)	(16.0, 71736.0)	(17.0, 93858.0)	(18.0, 111846.0)	(19.0, 131611.0)	(20.0, 154801.0)	(21.0, 182035.0)	(22.0, 214333.0)	(23.0, 251307.0)	(24.0, 291938.0)	(25.0, 341891.0)	(26.0, 383590.0)	(27.0, 430760.0)	(28.0, 491286.0)	(29.0, 561424.0)	(30.0, 646536.0)	(31.0, 748581.0)	(32.0, 873894.0)	(33.0, 1028257.0)	(34.0, 1224214.0)	(35.0, 1478865.0)	(36.0, 1805098.0)	(37.0, 2215351.0)	(38.0, 2673392.0)	(39.0, 3042983.0)	(40.0, 2004080.0)	
Nac_oxy_5_1	(14.0, 10.0)	(15.0, 62.0)	(16.0, 278.0)	(17.0, 738.0)	(18.0, 1444.0)	(19.0, 2831.0)	(20.0, 4708.0)	(21.0, 8008.0)	(22.0, 13847.0)	(23.0, 22782.0)	(24.0, 36224.0)	(25.0, 77546.0)	(26.0, 98575.0)	(27.0, 98565.0)	(28.0, 124965.0)	(29.0, 161155.0)	(30.0, 204977.0)	(31.0, 258449.0)	(32.0, 326735.0)	(33.0, 414424.0)	(34.0, 537695.0)	(35.0, 712790.0)	(36.0, 977750.0)	(37.0, 1418343.0)	(38.0, 2238535.0)	(39.0, 4461737.0)	(40.0, 11886189.0)				
Nac_oxy_5_2	(11.0, 41.0)	(12.0, 395.0)	(13.0, 3132.0)	(14.0, 12865.0)	(15.0, 30452.0)	(16.0, 51925.0)	(17.0, 74225.0)	(18.0, 96481.0)	(19.0, 121210.0)	(20.0, 148590.0)	(21.0, 178769.0)	(22.0, 213048.0)	(23.0, 249195.0)	(24.0, 291713.0)	(25.0, 348438.0)	(26.0, 411556.0)	(27.0, 436236.0)	(28.0, 497044.0)	(29.0, 569392.0)	(30.0, 655291.0)	(31.0, 759064.0)	(32.0, 885818.0)	(33.0, 1043077.0)	(34.0, 1244056.0)	(35.0, 1512724.0)	(36.0, 1875364.0)	(37.0, 2381385.0)	(38.0, 3051514.0)	(39.0, 3841693.0)	(40.0, 3104669.0)	
Nac_oxy_6_1	(13.0, 1.0)	(14.0, 11.0)	(15.0, 74.0)	(16.0, 336.0)	(17.0, 859.0)	(18.0, 1613.0)	(19.0, 2785.0)	(20.0, 4738.0)	(21.0, 8186.0)	(22.0, 14621.0)	(23.0, 25391.0)	(24.0, 47516.0)	(25.0, 327610.0)	(26.0, 457585.0)	(27.0, 122948.0)	(28.0, 104955.0)	(29.0, 125815.0)	(30.0, 159412.0)	(31.0, 201851.0)	(32.0, 257518.0)	(33.0, 329072.0)	(34.0, 426215.0)	(35.0, 565528.0)	(36.0, 776563.0)	(37.0, 1131842.0)	(38.0, 1816467.0)	(39.0, 3666583.0)	(40.0, 10100964.0)			
Nac_oxy_6_2	(11.0, 19.0)	(12.0, 514.0)	(13.0, 4614.0)	(14.0, 18431.0)	(15.0, 36773.0)	(16.0, 51994.0)	(17.0, 65853.0)	(18.0, 78935.0)	(19.0, 96029.0)	(20.0, 117421.0)	(21.0, 141380.0)	(22.0, 171870.0)	(23.0, 205996.0)	(24.0, 254901.0)	(25.0, 383122.0)	(26.0, 804278.0)	(27.0, 416788.0)	(28.0, 378041.0)	(29.0, 433394.0)	(30.0, 499936.0)	(31.0, 581563.0)	(32.0, 682356.0)	(33.0, 813326.0)	(34.0, 975600.0)	(35.0, 1196962.0)	(36.0, 1497533.0)	(37.0, 1929453.0)	(38.0, 2529240.0)	(39.0, 3291548.0)	(40.0, 3019189.0)	
Nac_oxy_7_1	(13.0, 2.0)	(14.0, 11.0)	(15.0, 122.0)	(16.0, 453.0)	(17.0, 1140.0)	(18.0, 2300.0)	(19.0, 3869.0)	(20.0, 6110.0)	(21.0, 9117.0)	(22.0, 13750.0)	(23.0, 20492.0)	(24.0, 30727.0)	(25.0, 67861.0)	(26.0, 84931.0)	(27.0, 79480.0)	(28.0, 101646.0)	(29.0, 131641.0)	(30.0, 170482.0)	(31.0, 219995.0)	(32.0, 283425.0)	(33.0, 369008.0)	(34.0, 490086.0)	(35.0, 677087.0)	(36.0, 941907.0)	(37.0, 1363252.0)	(38.0, 2080258.0)	(39.0, 3998902.0)	(40.0, 11731414.0)			
Nac_oxy_7_2	(11.0, 10.0)	(12.0, 407.0)	(13.0, 3632.0)	(14.0, 14627.0)	(15.0, 30580.0)	(16.0, 48893.0)	(17.0, 68308.0)	(18.0, 87455.0)	(19.0, 109701.0)	(20.0, 135228.0)	(21.0, 163716.0)	(22.0, 194825.0)	(23.0, 230337.0)	(24.0, 270066.0)	(25.0, 324211.0)	(26.0, 379793.0)	(27.0, 403642.0)	(28.0, 461261.0)	(29.0, 530310.0)	(30.0, 613566.0)	(31.0, 717714.0)	(32.0, 846393.0)	(33.0, 1011265.0)	(34.0, 1228843.0)	(35.0, 1515338.0)	(36.0, 1903703.0)	(37.0, 2396982.0)	(38.0, 2965733.0)	(39.0, 3489274.0)	(40.0, 2733655.0)	
Nac_oxy_8_1	(13.0, 1.0)	(14.0, 15.0)	(15.0, 110.0)	(16.0, 469.0)	(17.0, 1208.0)	(18.0, 2357.0)	(19.0, 3955.0)	(20.0, 6240.0)	(21.0, 9489.0)	(22.0, 14317.0)	(23.0, 22514.0)	(24.0, 35743.0)	(25.0, 115081.0)	(26.0, 121784.0)	(27.0, 85785.0)	(28.0, 104455.0)	(29.0, 134814.0)	(30.0, 174448.0)	(31.0, 225715.0)	(32.0, 291980.0)	(33.0, 380136.0)	(34.0, 504916.0)	(35.0, 695012.0)	(36.0, 963435.0)	(37.0, 1401203.0)	(38.0, 2155769.0)	(39.0, 4132752.0)	(40.0, 11736464.0)			
Nac_oxy_8_2	(10.0, 1.0)	(11.0, 40.0)	(12.0, 675.0)	(13.0, 5580.0)	(14.0, 20631.0)	(15.0, 39822.0)	(16.0, 59527.0)	(17.0, 79333.0)	(18.0, 98051.0)	(19.0, 120873.0)	(20.0, 146880.0)	(21.0, 176506.0)	(22.0, 211059.0)	(23.0, 250449.0)	(24.0, 299966.0)	(25.0, 378068.0)	(26.0, 418642.0)	(27.0, 425786.0)	(28.0, 483383.0)	(29.0, 556339.0)	(30.0, 644932.0)	(31.0, 752990.0)	(32.0, 887172.0)	(33.0, 1060170.0)	(34.0, 1285772.0)	(35.0, 1585185.0)	(36.0, 1974497.0)	(37.0, 2468063.0)	(38.0, 3014601.0)	(39.0, 3459580.0)	(40.0, 2415594.0)
