Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
Nac_Sal_6_1	(20, 855.0)	(25, 1550.0)	(30, 1983.0)	(35, 2884.0)	(40, 5713.0)	(45, 11658.0)	(50, 22566.0)	(55, 38440.0)	(60, 76105.0)	(65, 254786.0)	(70, 248298.0)	(75, 218522.0)	(80, 259463.0)	(85, 301617.0)	(90, 345090.0)	(95, 397542.0)	(100, 422619.0)	(105, 464788.0)	(110, 491366.0)	(115, 558829.0)	(120, 574707.0)	(125, 622527.0)	(130, 656531.0)	(135, 709787.0)	(140, 763638.0)	(145, 7407906.0)	(150, 12187791.0)
Nac_Sal_6_2	(20, 15859.0)	(25, 16593.0)	(30, 18186.0)	(35, 20181.0)	(40, 24373.0)	(45, 29918.0)	(50, 41599.0)	(55, 58937.0)	(60, 97406.0)	(65, 136944.0)	(70, 392238.0)	(75, 259561.0)	(80, 288997.0)	(85, 339598.0)	(90, 393027.0)	(95, 454613.0)	(100, 489160.0)	(105, 537541.0)	(110, 567307.0)	(115, 640612.0)	(120, 659916.0)	(125, 715734.0)	(130, 765822.0)	(135, 873028.0)	(140, 1046781.0)	(145, 8120092.0)	(150, 10043538.0)
Nac_Sal_7_1	(20, 691.0)	(25, 1201.0)	(30, 2794.0)	(35, 5941.0)	(40, 14294.0)	(45, 32221.0)	(50, 75110.0)	(55, 134199.0)	(60, 243276.0)	(65, 331083.0)	(70, 400187.0)	(75, 474518.0)	(80, 487748.0)	(85, 532710.0)	(90, 569131.0)	(95, 598035.0)	(100, 572460.0)	(105, 592517.0)	(110, 598938.0)	(115, 645970.0)	(120, 626771.0)	(125, 628970.0)	(130, 651489.0)	(135, 654932.0)	(140, 693382.0)	(145, 5588562.0)	(150, 11099728.0)
Nac_Sal_7_2	(20, 15422.0)	(25, 16121.0)	(30, 18989.0)	(35, 23200.0)	(40, 32661.0)	(45, 51740.0)	(50, 94628.0)	(55, 154105.0)	(60, 263993.0)	(65, 333072.0)	(70, 438788.0)	(75, 498411.0)	(80, 517868.0)	(85, 570106.0)	(90, 622367.0)	(95, 664383.0)	(100, 653865.0)	(105, 680284.0)	(110, 691343.0)	(115, 738526.0)	(120, 727413.0)	(125, 745368.0)	(130, 784957.0)	(135, 831838.0)	(140, 1007135.0)	(145, 6192124.0)	(150, 8888151.0)
Nac_Sal_8_1	(20, 1534.0)	(25, 2868.0)	(30, 4249.0)	(35, 7787.0)	(40, 15791.0)	(45, 33818.0)	(50, 69814.0)	(55, 113816.0)	(60, 198863.0)	(65, 339071.0)	(70, 395262.0)	(75, 402316.0)	(80, 457451.0)	(85, 502342.0)	(90, 560925.0)	(95, 602845.0)	(100, 628099.0)	(105, 653301.0)	(110, 680504.0)	(115, 709509.0)	(120, 707828.0)	(125, 723439.0)	(130, 720397.0)	(135, 732740.0)	(140, 746940.0)	(145, 5574282.0)	(150, 9167095.0)
Nac_Sal_8_2	(20, 24575.0)	(25, 26252.0)	(30, 29692.0)	(35, 35224.0)	(40, 44081.0)	(45, 61719.0)	(50, 98399.0)	(55, 143371.0)	(60, 228132.0)	(65, 296491.0)	(70, 486966.0)	(75, 441321.0)	(80, 496296.0)	(85, 553531.0)	(90, 625790.0)	(95, 682165.0)	(100, 718596.0)	(105, 751485.0)	(110, 780526.0)	(115, 812027.0)	(120, 809224.0)	(125, 829452.0)	(130, 836489.0)	(135, 896676.0)	(140, 1028034.0)	(145, 6022870.0)	(150, 6993502.0)
Nac_oxy_1_1	(20, 14004.0)	(25, 33904.0)	(30, 57615.0)	(35, 73582.0)	(40, 132523.0)	(45, 195053.0)	(50, 390043.0)	(55, 585129.0)	(60, 959333.0)	(65, 1636679.0)	(70, 1647312.0)	(75, 1767074.0)	(80, 1882463.0)	(85, 1675878.0)	(90, 1862672.0)	(95, 1662541.0)	(100, 1594025.0)	(105, 1237502.0)	(110, 1015398.0)	(115, 824739.0)	(120, 676730.0)	(125, 629466.0)	(130, 526363.0)	(135, 432577.0)	(140, 366940.0)	(145, 1685771.0)	(150, 2502386.0)
Nac_oxy_1_2	(20, 27385.0)	(25, 46487.0)	(30, 70997.0)	(35, 87569.0)	(40, 146804.0)	(45, 208982.0)	(50, 404445.0)	(55, 596184.0)	(60, 966234.0)	(65, 1323038.0)	(70, 1935187.0)	(75, 1791904.0)	(80, 1865029.0)	(85, 1667468.0)	(90, 1850060.0)	(95, 1657023.0)	(100, 1590738.0)	(105, 1230107.0)	(110, 1010354.0)	(115, 820138.0)	(120, 676390.0)	(125, 620600.0)	(130, 520642.0)	(135, 451370.0)	(140, 431055.0)	(145, 1946571.0)	(150, 2124941.0)
Nac_oxy_2_1	(20, 1045.0)	(25, 2557.0)	(30, 3994.0)	(35, 7448.0)	(40, 16454.0)	(45, 34134.0)	(50, 68967.0)	(55, 110559.0)	(60, 194471.0)	(65, 689858.0)	(70, 564347.0)	(75, 428182.0)	(80, 487379.0)	(85, 531399.0)	(90, 626594.0)	(95, 677879.0)	(100, 712506.0)	(105, 744941.0)	(110, 770201.0)	(115, 811640.0)	(120, 817102.0)	(125, 826677.0)	(130, 809550.0)	(135, 823561.0)	(140, 792374.0)	(145, 4547242.0)	(150, 6771377.0)
Nac_oxy_2_2	(20, 14686.0)	(25, 16263.0)	(30, 19017.0)	(35, 23352.0)	(40, 32885.0)	(45, 50437.0)	(50, 86109.0)	(55, 129315.0)	(60, 212223.0)	(65, 280610.0)	(70, 958689.0)	(75, 511003.0)	(80, 509618.0)	(85, 560498.0)	(90, 662360.0)	(95, 721173.0)	(100, 762552.0)	(105, 797110.0)	(110, 822836.0)	(115, 865437.0)	(120, 869644.0)	(125, 881788.0)	(130, 867645.0)	(135, 912569.0)	(140, 952395.0)	(145, 4903450.0)	(150, 5448774.0)
Nac_oxy_3_1	(20, 572.0)	(25, 906.0)	(30, 1077.0)	(35, 1620.0)	(40, 3049.0)	(45, 5972.0)	(50, 11237.0)	(55, 19148.0)	(60, 35535.0)	(65, 63851.0)	(70, 84965.0)	(75, 102016.0)	(80, 134520.0)	(85, 163775.0)	(90, 212282.0)	(95, 254046.0)	(100, 295511.0)	(105, 337261.0)	(110, 380547.0)	(115, 432972.0)	(120, 472507.0)	(125, 517452.0)	(130, 550904.0)	(135, 601597.0)	(140, 646249.0)	(145, 7073457.0)	(150, 10773711.0)
Nac_oxy_3_2	(20, 23804.0)	(25, 24627.0)	(30, 26490.0)	(35, 29208.0)	(40, 31641.0)	(45, 34821.0)	(50, 41143.0)	(55, 49354.0)	(60, 67033.0)	(65, 84439.0)	(70, 123243.0)	(75, 131151.0)	(80, 173512.0)	(85, 214128.0)	(90, 274747.0)	(95, 328134.0)	(100, 380340.0)	(105, 428118.0)	(110, 474951.0)	(115, 532867.0)	(120, 573982.0)	(125, 627968.0)	(130, 675866.0)	(135, 781687.0)	(140, 965464.0)	(145, 7419345.0)	(150, 8658676.0)
Nac_oxy_4_1	(20, 739.0)	(25, 1124.0)	(30, 1535.0)	(35, 2539.0)	(40, 5425.0)	(45, 11246.0)	(50, 24755.0)	(55, 41852.0)	(60, 74367.0)	(65, 118523.0)	(70, 153101.0)	(75, 179401.0)	(80, 230037.0)	(85, 265523.0)	(90, 340337.0)	(95, 389616.0)	(100, 446780.0)	(105, 486159.0)	(110, 529456.0)	(115, 573708.0)	(120, 606248.0)	(125, 650115.0)	(130, 667056.0)	(135, 699185.0)	(140, 685416.0)	(145, 5851592.0)	(150, 8356722.0)
Nac_oxy_4_2	(20, 18096.0)	(25, 18624.0)	(30, 20357.0)	(35, 22521.0)	(40, 26035.0)	(45, 32687.0)	(50, 46286.0)	(55, 64047.0)	(60, 97211.0)	(65, 125275.0)	(70, 188995.0)	(75, 200749.0)	(80, 257342.0)	(85, 300169.0)	(90, 382784.0)	(95, 440519.0)	(100, 504409.0)	(105, 546382.0)	(110, 591766.0)	(115, 637046.0)	(120, 668740.0)	(125, 715363.0)	(130, 740488.0)	(135, 812150.0)	(140, 909329.0)	(145, 6116358.0)	(150, 6908829.0)
Nac_oxy_5_1	(20, 1005.0)	(25, 1719.0)	(30, 2434.0)	(35, 4243.0)	(40, 8402.0)	(45, 17574.0)	(50, 37730.0)	(55, 66077.0)	(60, 124459.0)	(65, 199904.0)	(70, 256372.0)	(75, 307006.0)	(80, 345314.0)	(85, 384623.0)	(90, 425669.0)	(95, 466238.0)	(100, 462848.0)	(105, 487890.0)	(110, 505339.0)	(115, 545619.0)	(120, 543045.0)	(125, 563450.0)	(130, 585040.0)	(135, 620842.0)	(140, 666707.0)	(145, 5810651.0)	(150, 10537828.0)
Nac_oxy_5_2	(20, 15460.0)	(25, 16409.0)	(30, 18314.0)	(35, 21577.0)	(40, 26755.0)	(45, 37097.0)	(50, 57429.0)	(55, 85964.0)	(60, 145355.0)	(65, 199726.0)	(70, 297700.0)	(75, 330691.0)	(80, 374058.0)	(85, 420347.0)	(90, 475979.0)	(95, 529562.0)	(100, 538192.0)	(105, 568188.0)	(110, 590679.0)	(115, 631360.0)	(120, 633991.0)	(125, 665064.0)	(130, 702767.0)	(135, 779402.0)	(140, 947429.0)	(145, 6356156.0)	(150, 8512377.0)
Nac_oxy_6_1	(20, 726.0)	(25, 1295.0)	(30, 1602.0)	(35, 2296.0)	(40, 4801.0)	(45, 10247.0)	(50, 21220.0)	(55, 35964.0)	(60, 68016.0)	(65, 203049.0)	(70, 194836.0)	(75, 167910.0)	(80, 194748.0)	(85, 224060.0)	(90, 266072.0)	(95, 302551.0)	(100, 322141.0)	(105, 351669.0)	(110, 367883.0)	(115, 421426.0)	(120, 421320.0)	(125, 455417.0)	(130, 469327.0)	(135, 508037.0)	(140, 551581.0)	(145, 5555703.0)	(150, 8814452.0)
Nac_oxy_6_2	(20, 14368.0)	(25, 14636.0)	(30, 15392.0)	(35, 17203.0)	(40, 20185.0)	(45, 25460.0)	(50, 37011.0)	(55, 52625.0)	(60, 84756.0)	(65, 117975.0)	(70, 302149.0)	(75, 199968.0)	(80, 218321.0)	(85, 253800.0)	(90, 302513.0)	(95, 346194.0)	(100, 371957.0)	(105, 406432.0)	(110, 424866.0)	(115, 482301.0)	(120, 484557.0)	(125, 524565.0)	(130, 550340.0)	(135, 628603.0)	(140, 760309.0)	(145, 5976509.0)	(150, 7305354.0)
Nac_oxy_7_1	(20, 1506.0)	(25, 3317.0)	(30, 5155.0)	(35, 9532.0)	(40, 21900.0)	(45, 46422.0)	(50, 106955.0)	(55, 180158.0)	(60, 309500.0)	(65, 433132.0)	(70, 515536.0)	(75, 579291.0)	(80, 637113.0)	(85, 688558.0)	(90, 753262.0)	(95, 782253.0)	(100, 781986.0)	(105, 791074.0)	(110, 773517.0)	(115, 789534.0)	(120, 753885.0)	(125, 752502.0)	(130, 732041.0)	(135, 725554.0)	(140, 709086.0)	(145, 4553730.0)	(150, 6336734.0)
Nac_oxy_7_2	(20, 15181.0)	(25, 17129.0)	(30, 20646.0)	(35, 26698.0)	(40, 39965.0)	(45, 64628.0)	(50, 125454.0)	(55, 199539.0)	(60, 328524.0)	(65, 426292.0)	(70, 556650.0)	(75, 597663.0)	(80, 659333.0)	(85, 717115.0)	(90, 787300.0)	(95, 823199.0)	(100, 828650.0)	(105, 839450.0)	(110, 823242.0)	(115, 838886.0)	(120, 802693.0)	(125, 802414.0)	(130, 787150.0)	(135, 811908.0)	(140, 881109.0)	(145, 4778064.0)	(150, 5174351.0)
Nac_oxy_8_1	(20, 2228.0)	(25, 4305.0)	(30, 6613.0)	(35, 11828.0)	(40, 24898.0)	(45, 51531.0)	(50, 107398.0)	(55, 177789.0)	(60, 304569.0)	(65, 500566.0)	(70, 557276.0)	(75, 609438.0)	(80, 664179.0)	(85, 711455.0)	(90, 802757.0)	(95, 831311.0)	(100, 829860.0)	(105, 828951.0)	(110, 796961.0)	(115, 805227.0)	(120, 759028.0)	(125, 755700.0)	(130, 720617.0)	(135, 697771.0)	(140, 680026.0)	(145, 4458895.0)	(150, 6491269.0)
Nac_oxy_8_2	(20, 18563.0)	(25, 20341.0)	(30, 23162.0)	(35, 30213.0)	(40, 43493.0)	(45, 70772.0)	(50, 126877.0)	(55, 197715.0)	(60, 324317.0)	(65, 441790.0)	(70, 647797.0)	(75, 632307.0)	(80, 685949.0)	(85, 740079.0)	(90, 837578.0)	(95, 873813.0)	(100, 878064.0)	(105, 878556.0)	(110, 847012.0)	(115, 854977.0)	(120, 807909.0)	(125, 804033.0)	(130, 775734.0)	(135, 788133.0)	(140, 855702.0)	(145, 4785941.0)	(150, 5201619.0)
