Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Nac_Sal_6_1	(1.0, 26.466265773709114)	(2.0, 13.832579718402856)	(3.0, 12.02656178993581)	(4.0, 8.619361813594018)	(5.0, 5.441987191597021)	(6.0, 3.4290671059704)	(7.0, 2.2556778417874774)	(8.0, 1.5670710604606737)	(9.0, 1.124866693166176)	('>10', 7.4268295875853125)	('>50', 1.359249737514461)	('>100', 2.911656423435066)	('>500', 1.607663676496196)	('>1k', 4.343962858446878)	('>5k', 2.2671189565393477)	('>10k+', 5.320079771359241)
Nac_Sal_6_2	(1.0, 31.607716725360714)	(2.0, 13.853809860821553)	(3.0, 11.848299375133633)	(4.0, 8.024985736574566)	(5.0, 5.043279358480366)	(6.0, 3.138818959925295)	(7.0, 1.9884386453665774)	(8.0, 1.3826758791319138)	(9.0, 0.9819527402673641)	('>10', 6.248447426927348)	('>50', 1.2236685845528468)	('>100', 2.9020937584882334)	('>500', 1.659688473416102)	('>1k', 4.529409987747955)	('>5k', 1.8236481948945098)	('>10k+', 3.7430662929109717)
Nac_Sal_7_1	(1.0, 15.041775323784748)	(2.0, 3.449343363740605)	(3.0, 1.4853309723184076)	(4.0, 0.900996223552284)	(5.0, 0.6640201256703631)	(6.0, 0.5178964710620593)	(7.0, 0.4451806161592151)	(8.0, 0.3677893928153769)	(9.0, 0.32115794847320706)	('>10', 3.6469890346664777)	('>50', 1.2906671445230031)	('>100', 5.177270872885574)	('>500', 3.873211968168792)	('>1k', 17.93339618452425)	('>5k', 12.373654831545746)	('>10k+', 32.51131952610988)
Nac_Sal_7_2	(1.0, 21.641366874631718)	(2.0, 3.4131924354245067)	(3.0, 1.5567991820514702)	(4.0, 0.9760093556876314)	(5.0, 0.7459914943962328)	(6.0, 0.5722366973791769)	(7.0, 0.5046792510002002)	(8.0, 0.4183521696230318)	(9.0, 0.36645681279469766)	('>10', 3.879721067458771)	('>50', 0.8102215070958025)	('>100', 3.2187923140110533)	('>500', 3.5698474661739983)	('>1k', 22.334643081982218)	('>5k', 13.971881452168372)	('>10k+', 22.019808838121197)
Nac_Sal_8_1	(1.0, 25.059942782234717)	(2.0, 9.340651307360458)	(3.0, 8.275359659835807)	(4.0, 6.392911158661165)	(5.0, 4.375988905600992)	(6.0, 2.9630400281058495)	(7.0, 2.028189952374966)	(8.0, 1.3815465711218826)	(9.0, 0.9766959110598458)	('>10', 5.8639938828628875)	('>50', 1.4073743840898296)	('>100', 5.081445758286402)	('>500', 3.8242598004596777)	('>1k', 12.905465985727052)	('>5k', 5.158150679380087)	('>10k+', 4.964983232838441)
Nac_Sal_8_2	(1.0, 36.97185878554434)	(2.0, 8.83568413074585)	(3.0, 7.2637018871681915)	(4.0, 5.253710176281184)	(5.0, 3.5205295537382137)	(6.0, 2.240417300790569)	(7.0, 1.5072083881003762)	(8.0, 0.971892423196631)	(9.0, 0.7135037635908535)	('>10', 4.134720591374584)	('>50', 0.9513969102591939)	('>100', 4.337240173126505)	('>500', 4.031611341975325)	('>1k', 13.336016620344788)	('>5k', 3.576023435759654)	('>10k+', 2.354484518003754)
Nac_oxy_1_1	(1.0, 17.992731839949684)	(2.0, 6.783074202970947)	(3.0, 3.492502227560379)	(4.0, 1.680779889046547)	(5.0, 0.8705206577438359)	(6.0, 0.5697568171758064)	(7.0, 0.36151600512623233)	(8.0, 0.29527860629189984)	(9.0, 0.238968715432561)	('>10', 3.760280218685857)	('>50', 1.4914094893442884)	('>100', 3.8993854376884176)	('>500', 2.478558057243616)	('>1k', 8.334062028077259)	('>5k', 5.153840831860436)	('>10k+', 42.59733497580225)
Nac_oxy_1_2	(1.0, 22.404176110441554)	(2.0, 6.606472963394827)	(3.0, 3.2675589492892154)	(4.0, 1.4998879187203298)	(5.0, 0.7802818335149381)	(6.0, 0.5076248058265175)	(7.0, 0.3754743065414065)	(8.0, 0.3184219590160357)	(9.0, 0.25544603514864966)	('>10', 4.233010569515583)	('>50', 1.637658649555267)	('>100', 4.175265601222456)	('>500', 2.3164287842316336)	('>1k', 7.248968531994514)	('>5k', 4.054685240699868)	('>10k+', 40.31863774088727)
Nac_oxy_2_1	(1.0, 48.648395355925636)	(2.0, 13.341146642322514)	(3.0, 5.583056665242754)	(4.0, 2.7119725182570087)	(5.0, 1.6334656103163117)	(6.0, 1.0502356474550893)	(7.0, 0.8177018176630219)	(8.0, 0.5956475458049239)	(9.0, 0.4957198482936349)	('>10', 4.108931989337473)	('>50', 1.0492834559326631)	('>100', 2.941248725712977)	('>500', 1.6534917414679193)	('>1k', 4.8533943790781136)	('>5k', 2.1169098177552828)	('>10k+', 8.399398239434793)
Nac_oxy_2_2	(1.0, 55.50646568758574)	(2.0, 11.836279517190631)	(3.0, 4.668679643259491)	(4.0, 2.2426207089907857)	(5.0, 1.3473078991107035)	(6.0, 0.8939527891115432)	(7.0, 0.6342970402451101)	(8.0, 0.4548371935143054)	(9.0, 0.38200385534201003)	('>10', 3.2532189889477765)	('>50', 0.9231894800351805)	('>100', 2.761252003056064)	('>500', 1.7230022397778724)	('>1k', 4.613332460969593)	('>5k', 2.1371859680860843)	('>10k+', 6.622374524777295)
Nac_oxy_3_1	(1.0, 53.705339182728494)	(2.0, 15.785636351684262)	(3.0, 6.844420331465124)	(4.0, 3.2717655406561996)	(5.0, 1.9775277295771043)	(6.0, 1.3032015235942125)	(7.0, 0.9738913736691706)	(8.0, 0.775539585597369)	(9.0, 0.5827929514129639)	('>10', 4.532179673554543)	('>50', 0.8200857812463914)	('>100', 1.8367590569011347)	('>500', 0.9842229790785066)	('>1k', 2.5532660213479232)	('>5k', 1.005176972791427)	('>10k+', 3.0481949446952967)
Nac_oxy_3_2	(1.0, 63.31284545796806)	(2.0, 13.632211375817308)	(3.0, 5.367007150317188)	(4.0, 2.4014308541633547)	(5.0, 1.434723703990593)	(6.0, 0.9251925570561728)	(7.0, 0.7173450580050824)	(8.0, 0.5285331297529982)	(9.0, 0.37798252120558884)	('>10', 3.101385534692671)	('>50', 0.6702637028601144)	('>100', 1.7606611687738023)	('>500', 0.8028090577214766)	('>1k', 2.1038555205406486)	('>5k', 1.2046190609954872)	('>10k+', 1.6591341461394717)
Nac_oxy_4_1	(1.0, 56.22929649126009)	(2.0, 17.11914369362127)	(3.0, 6.873933255169066)	(4.0, 2.983513498289474)	(5.0, 1.5450392779510813)	(6.0, 0.9289922694676591)	(7.0, 0.6684607300571502)	(8.0, 0.503551893629582)	(9.0, 0.3519596671161237)	('>10', 2.9780085329610575)	('>50', 0.8222174863999451)	('>100', 2.184127188496543)	('>500', 1.1092324873150061)	('>1k', 3.1476282133536917)	('>5k', 1.3170718760920102)	('>10k+', 1.2378234388205023)
Nac_oxy_4_2	(1.0, 64.86124114991844)	(2.0, 14.408313596939907)	(3.0, 5.331909201050787)	(4.0, 2.2683619822317294)	(5.0, 1.1128270238451268)	(6.0, 0.6233614814189219)	(7.0, 0.45439146155659643)	(8.0, 0.3361469755828176)	(9.0, 0.2757102401318602)	('>10', 2.0947852101785474)	('>50', 0.6716039805273054)	('>100', 1.8917512889809596)	('>500', 1.1342489112142202)	('>1k', 2.8688106065744745)	('>5k', 0.725720982050585)	('>10k+', 0.9408159077976458)
Nac_oxy_5_1	(1.0, 34.16448438084891)	(2.0, 9.498836656365157)	(3.0, 3.8087078353229815)	(4.0, 1.8965409062881757)	(5.0, 1.1747072101458744)	(6.0, 0.7404040730719028)	(7.0, 0.6101526811526602)	(8.0, 0.447303364693953)	(9.0, 0.37325248895040575)	('>10', 3.355488629912496)	('>50', 1.1760086586615885)	('>100', 4.343282293368632)	('>500', 3.383669795096319)	('>1k', 14.546376020388585)	('>5k', 9.053191281263807)	('>10k+', 11.427593724468574)
Nac_oxy_5_2	(1.0, 41.204456796165076)	(2.0, 8.73535504938023)	(3.0, 3.361803683240355)	(4.0, 1.6523655678173168)	(5.0, 1.0346649720112133)	(6.0, 0.7152395728748676)	(7.0, 0.5247477621282475)	(8.0, 0.4017308972855753)	(9.0, 0.35214510130371257)	('>10', 3.023730440566514)	('>50', 0.7249056364884124)	('>100', 3.0223163673383056)	('>500', 3.6393302995620402)	('>1k', 17.456406336311062)	('>5k', 7.285381966990556)	('>10k+', 6.8654195505365685)
Nac_oxy_6_1	(1.0, 24.149705440720037)	(2.0, 8.14727671441257)	(3.0, 9.57562637346669)	(4.0, 9.327391195497551)	(5.0, 7.715734442124019)	(6.0, 5.932201839948644)	(7.0, 4.319965858512058)	(8.0, 2.913593231526514)	(9.0, 1.9805927478475718)	('>10', 8.787929552190164)	('>50', 1.1753202847254778)	('>100', 2.669777133614665)	('>500', 1.4827045495425417)	('>1k', 3.998902631147426)	('>5k', 2.7241691322924124)	('>10k+', 5.099108872431649)
Nac_oxy_6_2	(1.0, 31.928370526543006)	(2.0, 8.335577302743816)	(3.0, 9.611942908666284)	(4.0, 8.632405193061892)	(5.0, 7.076269198231716)	(6.0, 5.377842553616276)	(7.0, 3.744591855355977)	(8.0, 2.5463887401861864)	(9.0, 1.6345557374069433)	('>10', 6.505651587604451)	('>50', 0.9837545039232268)	('>100', 2.6604626450168958)	('>500', 1.3441121645658727)	('>1k', 4.204002612976514)	('>5k', 1.9219342948090807)	('>10k+', 3.4921381752917133)
Nac_oxy_7_1	(1.0, 40.3771210668251)	(2.0, 17.681309146409923)	(3.0, 11.124976877934936)	(4.0, 6.113234266499435)	(5.0, 3.190592939996518)	(6.0, 1.7287064841762143)	(7.0, 1.0648221940766054)	(8.0, 0.7434709624321151)	(9.0, 0.5181461607539098)	('>10', 3.875790147321402)	('>50', 1.087669330526375)	('>100', 2.7229139247056944)	('>500', 1.5263831625285127)	('>1k', 4.388382668725491)	('>5k', 1.3479960809979008)	('>10k+', 2.508484586089846)
Nac_oxy_7_2	(1.0, 49.13999913406574)	(2.0, 16.44595412354143)	(3.0, 9.439927424656286)	(4.0, 4.820250781756697)	(5.0, 2.4885199206970414)	(6.0, 1.221458043388229)	(7.0, 0.7479314147633582)	(8.0, 0.49148714354570294)	(9.0, 0.38318432561602717)	('>10', 2.932803069151715)	('>50', 0.934102604992976)	('>100', 2.555835427357694)	('>500', 1.5602670574041404)	('>1k', 3.8493359485321177)	('>5k', 1.3860376934484426)	('>10k+', 1.6029058870824884)
Nac_oxy_8_1	(1.0, 30.078545493015916)	(2.0, 12.943952802944272)	(3.0, 11.49260700658804)	(4.0, 8.267067986525872)	(5.0, 5.496002878720434)	(6.0, 3.3114432779292096)	(7.0, 1.9695719663035418)	(8.0, 1.331493410261127)	(9.0, 0.9327834821868066)	('>10', 5.472807238509445)	('>50', 1.0707384052915154)	('>100', 2.5359818261074816)	('>500', 1.5198313675752326)	('>1k', 4.305597284218314)	('>5k', 1.9118063607722546)	('>10k+', 7.359769213050549)
Nac_oxy_8_2	(1.0, 39.8712511446096)	(2.0, 12.421668939090766)	(3.0, 10.159265808220228)	(4.0, 7.0236165595918)	(5.0, 4.252735522372875)	(6.0, 2.5533792219907596)	(7.0, 1.468280309039209)	(8.0, 0.9765809967535627)	(9.0, 0.7030350609201734)	('>10', 4.213008413734591)	('>50', 0.8821745521443922)	('>100', 2.327253585323052)	('>500', 1.1983283076865638)	('>1k', 4.354038877761771)	('>5k', 2.4020459924076287)	('>10k+', 5.193336708353018)
