Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
Nac_Sal_7_2	(12.0, 17.0)	(13.0, 247.0)	(14.0, 1475.0)	(15.0, 4855.0)	(16.0, 10509.0)	(17.0, 18287.0)	(18.0, 27720.0)	(19.0, 40247.0)	(20.0, 71160.0)	(21.0, 118095.0)	(22.0, 169380.0)	(23.0, 221214.0)	(24.0, 275534.0)	(25.0, 330388.0)	(26.0, 389848.0)	(27.0, 452779.0)	(28.0, 520126.0)	(29.0, 593382.0)	(30.0, 680235.0)	(31.0, 777036.0)	(32.0, 893120.0)	(33.0, 1035159.0)	(34.0, 1215629.0)	(35.0, 1443521.0)	(36.0, 1757090.0)	(37.0, 2200172.0)	(38.0, 2921634.0)	(39.0, 4346626.0)	(40.0, 5741373.0)	
Nac_Sal_8_1	(14.0, 1.0)	(15.0, 12.0)	(16.0, 60.0)	(17.0, 157.0)	(18.0, 416.0)	(19.0, 772.0)	(20.0, 1568.0)	(21.0, 3055.0)	(22.0, 5983.0)	(23.0, 11109.0)	(24.0, 18880.0)	(25.0, 33606.0)	(26.0, 50210.0)	(27.0, 64060.0)	(28.0, 89360.0)	(29.0, 121381.0)	(30.0, 162540.0)	(31.0, 214181.0)	(32.0, 278138.0)	(33.0, 360964.0)	(34.0, 470364.0)	(35.0, 626072.0)	(36.0, 856300.0)	(37.0, 1250752.0)	(38.0, 2047814.0)	(39.0, 4367074.0)	(40.0, 13718057.0)			
Nac_Sal_8_2	(12.0, 40.0)	(13.0, 736.0)	(14.0, 3759.0)	(15.0, 9746.0)	(16.0, 18493.0)	(17.0, 29166.0)	(18.0, 41806.0)	(19.0, 59304.0)	(20.0, 101203.0)	(21.0, 163626.0)	(22.0, 226768.0)	(23.0, 291148.0)	(24.0, 354729.0)	(25.0, 417116.0)	(26.0, 478133.0)	(27.0, 537655.0)	(28.0, 604621.0)	(29.0, 678070.0)	(30.0, 757880.0)	(31.0, 852111.0)	(32.0, 961803.0)	(33.0, 1092206.0)	(34.0, 1259093.0)	(35.0, 1467068.0)	(36.0, 1743825.0)	(37.0, 2132629.0)	(38.0, 2718360.0)	(39.0, 3751364.0)	(40.0, 4000428.0)	
Nac_oxy_1_1	(15.0, 10.0)	(16.0, 53.0)	(17.0, 186.0)	(18.0, 463.0)	(19.0, 1061.0)	(20.0, 2282.0)	(21.0, 4690.0)	(22.0, 9051.0)	(23.0, 15769.0)	(24.0, 26597.0)	(25.0, 58420.0)	(26.0, 77078.0)	(27.0, 71766.0)	(28.0, 91070.0)	(29.0, 120600.0)	(30.0, 155617.0)	(31.0, 201829.0)	(32.0, 258741.0)	(33.0, 328887.0)	(34.0, 423421.0)	(35.0, 557167.0)	(36.0, 759194.0)	(37.0, 1096895.0)	(38.0, 1813541.0)	(39.0, 4168204.0)	(40.0, 15825110.0)				
Nac_oxy_1_2	(11.0, 2.0)	(12.0, 46.0)	(13.0, 619.0)	(14.0, 2735.0)	(15.0, 6987.0)	(16.0, 11949.0)	(17.0, 17423.0)	(18.0, 23419.0)	(19.0, 31946.0)	(20.0, 53849.0)	(21.0, 87097.0)	(22.0, 120000.0)	(23.0, 155942.0)	(24.0, 194222.0)	(25.0, 244149.0)	(26.0, 282503.0)	(27.0, 307306.0)	(28.0, 354383.0)	(29.0, 409878.0)	(30.0, 476963.0)	(31.0, 557126.0)	(32.0, 654382.0)	(33.0, 781826.0)	(34.0, 953317.0)	(35.0, 1198796.0)	(36.0, 1570071.0)	(37.0, 2172577.0)	(38.0, 3251513.0)	(39.0, 5562280.0)	(40.0, 6584396.0)
Nac_oxy_2_1	(15.0, 17.0)	(16.0, 39.0)	(17.0, 171.0)	(18.0, 352.0)	(19.0, 819.0)	(20.0, 1705.0)	(21.0, 3299.0)	(22.0, 6593.0)	(23.0, 12405.0)	(24.0, 22235.0)	(25.0, 60550.0)	(26.0, 80542.0)	(27.0, 67799.0)	(28.0, 85044.0)	(29.0, 111392.0)	(30.0, 146391.0)	(31.0, 190390.0)	(32.0, 245733.0)	(33.0, 319416.0)	(34.0, 416454.0)	(35.0, 552767.0)	(36.0, 758557.0)	(37.0, 1111331.0)	(38.0, 1833884.0)	(39.0, 3986660.0)	(40.0, 12857893.0)				
Nac_oxy_2_2	(12.0, 21.0)	(13.0, 340.0)	(14.0, 2142.0)	(15.0, 6340.0)	(16.0, 12550.0)	(17.0, 19583.0)	(18.0, 27761.0)	(19.0, 38674.0)	(20.0, 66581.0)	(21.0, 106815.0)	(22.0, 148530.0)	(23.0, 192142.0)	(24.0, 238679.0)	(25.0, 298191.0)	(26.0, 347253.0)	(27.0, 365856.0)	(28.0, 417509.0)	(29.0, 475405.0)	(30.0, 544014.0)	(31.0, 627387.0)	(32.0, 724159.0)	(33.0, 847839.0)	(34.0, 1004715.0)	(35.0, 1211799.0)	(36.0, 1500903.0)	(37.0, 1932315.0)	(38.0, 2643563.0)	(39.0, 4029213.0)	(40.0, 5042159.0)	
Nac_oxy_3_1	(15.0, 2.0)	(16.0, 19.0)	(17.0, 62.0)	(18.0, 190.0)	(19.0, 392.0)	(20.0, 966.0)	(21.0, 2129.0)	(22.0, 4442.0)	(23.0, 8282.0)	(24.0, 14554.0)	(25.0, 25153.0)	(26.0, 39285.0)	(27.0, 58554.0)	(28.0, 84101.0)	(29.0, 116447.0)	(30.0, 157869.0)	(31.0, 209024.0)	(32.0, 273623.0)	(33.0, 357453.0)	(34.0, 466569.0)	(35.0, 620521.0)	(36.0, 853434.0)	(37.0, 1248990.0)	(38.0, 2044048.0)	(39.0, 4252426.0)	(40.0, 12338204.0)				
Nac_oxy_3_2	(12.0, 51.0)	(13.0, 622.0)	(14.0, 3712.0)	(15.0, 10455.0)	(16.0, 19880.0)	(17.0, 31751.0)	(18.0, 44170.0)	(19.0, 61316.0)	(20.0, 104187.0)	(21.0, 165914.0)	(22.0, 226182.0)	(23.0, 286474.0)	(24.0, 341889.0)	(25.0, 400533.0)	(26.0, 460242.0)	(27.0, 518261.0)	(28.0, 583367.0)	(29.0, 656870.0)	(30.0, 738866.0)	(31.0, 834852.0)	(32.0, 947889.0)	(33.0, 1085045.0)	(34.0, 1258873.0)	(35.0, 1475301.0)	(36.0, 1763216.0)	(37.0, 2141118.0)	(38.0, 2647685.0)	(39.0, 3344280.0)	(40.0, 3023738.0)	
Nac_oxy_4_1	(15.0, 4.0)	(16.0, 24.0)	(17.0, 63.0)	(18.0, 191.0)	(19.0, 421.0)	(20.0, 981.0)	(21.0, 2060.0)	(22.0, 4345.0)	(23.0, 7929.0)	(24.0, 13936.0)	(25.0, 23774.0)	(26.0, 36681.0)	(27.0, 53206.0)	(28.0, 76845.0)	(29.0, 105864.0)	(30.0, 144257.0)	(31.0, 190020.0)	(32.0, 250300.0)	(33.0, 324274.0)	(34.0, 424790.0)	(35.0, 566109.0)	(36.0, 777311.0)	(37.0, 1137194.0)	(38.0, 1857583.0)	(39.0, 3897990.0)	(40.0, 11496405.0)				
Nac_oxy_4_2	(11.0, 2.0)	(12.0, 29.0)	(13.0, 445.0)	(14.0, 2788.0)	(15.0, 8412.0)	(16.0, 16842.0)	(17.0, 25513.0)	(18.0, 35377.0)	(19.0, 47686.0)	(20.0, 80201.0)	(21.0, 125619.0)	(22.0, 171216.0)	(23.0, 217282.0)	(24.0, 263394.0)	(25.0, 312341.0)	(26.0, 363555.0)	(27.0, 418074.0)	(28.0, 477886.0)	(29.0, 544340.0)	(30.0, 622231.0)	(31.0, 712595.0)	(32.0, 821428.0)	(33.0, 957224.0)	(34.0, 1124939.0)	(35.0, 1347957.0)	(36.0, 1638854.0)	(37.0, 2035898.0)	(38.0, 2587432.0)	(39.0, 3383902.0)	(40.0, 3049095.0)
Nac_oxy_5_1	(14.0, 1.0)	(15.0, 11.0)	(16.0, 32.0)	(17.0, 110.0)	(18.0, 297.0)	(19.0, 698.0)	(20.0, 1386.0)	(21.0, 2792.0)	(22.0, 5708.0)	(23.0, 10778.0)	(24.0, 18932.0)	(25.0, 32412.0)	(26.0, 49663.0)	(27.0, 70323.0)	(28.0, 98646.0)	(29.0, 135176.0)	(30.0, 179642.0)	(31.0, 233426.0)	(32.0, 298980.0)	(33.0, 380613.0)	(34.0, 490814.0)	(35.0, 642292.0)	(36.0, 872711.0)	(37.0, 1263698.0)	(38.0, 2045424.0)	(39.0, 4287145.0)	(40.0, 12856318.0)			
Nac_oxy_5_2	(12.0, 33.0)	(13.0, 280.0)	(14.0, 1554.0)	(15.0, 4824.0)	(16.0, 10301.0)	(17.0, 17488.0)	(18.0, 26462.0)	(19.0, 38357.0)	(20.0, 67345.0)	(21.0, 111154.0)	(22.0, 158993.0)	(23.0, 209211.0)	(24.0, 260691.0)	(25.0, 315290.0)	(26.0, 371701.0)	(27.0, 430022.0)	(28.0, 494837.0)	(29.0, 567019.0)	(30.0, 649040.0)	(31.0, 743958.0)	(32.0, 858281.0)	(33.0, 993451.0)	(34.0, 1162814.0)	(35.0, 1385182.0)	(36.0, 1683304.0)	(37.0, 2113533.0)	(38.0, 2764210.0)	(39.0, 3929323.0)	(40.0, 4609370.0)	
Nac_oxy_6_1	(15.0, 6.0)	(16.0, 41.0)	(17.0, 136.0)	(18.0, 280.0)	(19.0, 631.0)	(20.0, 1261.0)	(21.0, 2504.0)	(22.0, 5019.0)	(23.0, 9207.0)	(24.0, 15539.0)	(25.0, 31684.0)	(26.0, 45605.0)	(27.0, 54397.0)	(28.0, 75549.0)	(29.0, 102740.0)	(30.0, 137277.0)	(31.0, 179148.0)	(32.0, 233628.0)	(33.0, 302782.0)	(34.0, 394791.0)	(35.0, 523353.0)	(36.0, 715911.0)	(37.0, 1046439.0)	(38.0, 1713218.0)	(39.0, 3601073.0)	(40.0, 10746130.0)				
Nac_oxy_6_2	(11.0, 2.0)	(12.0, 40.0)	(13.0, 502.0)	(14.0, 2751.0)	(15.0, 6659.0)	(16.0, 11657.0)	(17.0, 17228.0)	(18.0, 23559.0)	(19.0, 32722.0)	(20.0, 57334.0)	(21.0, 90796.0)	(22.0, 126704.0)	(23.0, 163482.0)	(24.0, 200905.0)	(25.0, 244121.0)	(26.0, 288006.0)	(27.0, 323909.0)	(28.0, 373197.0)	(29.0, 430879.0)	(30.0, 497382.0)	(31.0, 575290.0)	(32.0, 669935.0)	(33.0, 788698.0)	(34.0, 937302.0)	(35.0, 1135224.0)	(36.0, 1405756.0)	(37.0, 1800954.0)	(38.0, 2403719.0)	(39.0, 3417702.0)	(40.0, 3911934.0)
Nac_oxy_7_1	(14.0, 1.0)	(15.0, 15.0)	(16.0, 45.0)	(17.0, 177.0)	(18.0, 430.0)	(19.0, 911.0)	(20.0, 1760.0)	(21.0, 3118.0)	(22.0, 5609.0)	(23.0, 9705.0)	(24.0, 15816.0)	(25.0, 26051.0)	(26.0, 38801.0)	(27.0, 53033.0)	(28.0, 73973.0)	(29.0, 100610.0)	(30.0, 134767.0)	(31.0, 176996.0)	(32.0, 230842.0)	(33.0, 299308.0)	(34.0, 391085.0)	(35.0, 517888.0)	(36.0, 711396.0)	(37.0, 1040346.0)	(38.0, 1710399.0)	(39.0, 3726254.0)	(40.0, 13503897.0)			
Nac_oxy_7_2	(12.0, 22.0)	(13.0, 401.0)	(14.0, 2191.0)	(15.0, 5674.0)	(16.0, 10783.0)	(17.0, 17677.0)	(18.0, 25673.0)	(19.0, 36746.0)	(20.0, 63362.0)	(21.0, 100885.0)	(22.0, 141144.0)	(23.0, 183397.0)	(24.0, 227197.0)	(25.0, 272361.0)	(26.0, 319321.0)	(27.0, 366351.0)	(28.0, 419707.0)	(29.0, 480129.0)	(30.0, 548308.0)	(31.0, 633161.0)	(32.0, 733981.0)	(33.0, 859631.0)	(34.0, 1022170.0)	(35.0, 1236698.0)	(36.0, 1539490.0)	(37.0, 1983557.0)	(38.0, 2701028.0)	(39.0, 4066059.0)	(40.0, 4776129.0)	
Nac_oxy_8_1	(14.0, 1.0)	(15.0, 13.0)	(16.0, 57.0)	(17.0, 210.0)	(18.0, 450.0)	(19.0, 878.0)	(20.0, 1660.0)	(21.0, 3190.0)	(22.0, 5706.0)	(23.0, 10134.0)	(24.0, 16516.0)	(25.0, 30261.0)	(26.0, 44771.0)	(27.0, 55577.0)	(28.0, 75323.0)	(29.0, 102438.0)	(30.0, 137101.0)	(31.0, 180894.0)	(32.0, 236261.0)	(33.0, 307184.0)	(34.0, 401090.0)	(35.0, 534972.0)	(36.0, 735580.0)	(37.0, 1078071.0)	(38.0, 1779390.0)	(39.0, 3883388.0)	(40.0, 13571330.0)			
Nac_oxy_8_2	(11.0, 1.0)	(12.0, 39.0)	(13.0, 687.0)	(14.0, 3060.0)	(15.0, 7359.0)	(16.0, 13070.0)	(17.0, 20513.0)	(18.0, 28490.0)	(19.0, 40538.0)	(20.0, 68673.0)	(21.0, 109625.0)	(22.0, 153070.0)	(23.0, 197482.0)	(24.0, 244073.0)	(25.0, 291572.0)	(26.0, 337138.0)	(27.0, 384179.0)	(28.0, 438014.0)	(29.0, 497925.0)	(30.0, 570246.0)	(31.0, 653633.0)	(32.0, 752769.0)	(33.0, 879916.0)	(34.0, 1044171.0)	(35.0, 1258286.0)	(36.0, 1562133.0)	(37.0, 2011202.0)	(38.0, 2735001.0)	(39.0, 4105697.0)	(40.0, 4783884.0)
