Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Nac_Sal_6_1	(1.0, 26.25604116668981)	(2.0, 13.770851880120569)	(3.0, 11.985063330400372)	(4.0, 8.601473775445209)	(5.0, 5.445232692336814)	(6.0, 3.4337006615295653)	(7.0, 2.2473557443442322)	(8.0, 1.565614267934354)	(9.0, 1.1319965673636128)	('>10', 7.42474947835043)	('>50', 1.369655102495846)	('>100', 2.9152816800700907)	('>500', 1.5884365695730724)	('>1k', 4.360990137140205)	('>5k', 2.3250662783191767)	('>10k+', 5.578490667886804)
Nac_Sal_6_2	(1.0, 31.64880614856339)	(2.0, 13.78009956399611)	(3.0, 11.797271318484817)	(4.0, 7.999074545969872)	(5.0, 5.01605291082984)	(6.0, 3.1237677609385908)	(7.0, 1.980379654106057)	(8.0, 1.375084889443622)	(9.0, 0.9779241846147766)	('>10', 6.2253025985280965)	('>50', 1.2272291805712883)	('>100', 2.888032837257725)	('>500', 1.6497659133842528)	('>1k', 4.499307505515293)	('>5k', 1.8112927281624676)	('>10k+', 4.00060825963354)
Nac_Sal_7_1	(1.0, 15.110408526241295)	(2.0, 3.4447571082492154)	(3.0, 1.4747368798754457)	(4.0, 0.8954375972519768)	(5.0, 0.6571150263499829)	(6.0, 0.5133336864405615)	(7.0, 0.44947939262478637)	(8.0, 0.36304224930717627)	(9.0, 0.32101127986684774)	('>10', 3.677322681988061)	('>50', 1.2963353902593246)	('>100', 5.166970834159474)	('>500', 3.8742745428779)	('>1k', 17.867572488254936)	('>5k', 12.27715657376984)	('>10k+', 32.61104574248314)
Nac_Sal_7_2	(1.0, 21.743335215877558)	(2.0, 3.3866914630346483)	(3.0, 1.5437771902884239)	(4.0, 0.9779063277184828)	(5.0, 0.7414277973510783)	(6.0, 0.5746388909004456)	(7.0, 0.5004434894682714)	(8.0, 0.41936257375436226)	(9.0, 0.36854968217665274)	('>10', 3.87734049333222)	('>50', 0.8073860310904419)	('>100', 3.206640039403345)	('>500', 3.5614678836516407)	('>1k', 22.261905005555377)	('>5k', 13.985238033335728)	('>10k+', 22.043889883061343)
Nac_Sal_8_1	(1.0, 24.358295868016803)	(2.0, 8.831397820863476)	(3.0, 7.8447828327094795)	(4.0, 6.027821239789147)	(5.0, 4.154251468192789)	(6.0, 2.798363793995456)	(7.0, 1.9136699448296903)	(8.0, 1.3106656728026604)	(9.0, 0.9265408452908522)	('>10', 5.596793211181813)	('>50', 1.331290844349414)	('>100', 4.896297106642109)	('>500', 3.7002067496352793)	('>1k', 12.222299740669609)	('>5k', 4.976748920454811)	('>10k+', 9.110573940576797)
Nac_Sal_8_2	(1.0, 35.75629368000197)	(2.0, 8.39237555924072)	(3.0, 6.890895559668994)	(4.0, 4.98877782578472)	(5.0, 3.3367697193249626)	(6.0, 2.1208983106492054)	(7.0, 1.4348461310757963)	(8.0, 0.9281989081102395)	(9.0, 0.6773935335092311)	('>10', 3.900937008629579)	('>50', 0.9087075626006043)	('>100', 4.187026585408797)	('>500', 3.8882207920368796)	('>1k', 12.674011693386683)	('>5k', 3.3819939816135824)	('>10k+', 6.532653148958036)
Nac_oxy_1_1	(1.0, 17.932024728380714)	(2.0, 6.792024229984203)	(3.0, 3.5132340030027556)	(4.0, 1.695029869421843)	(5.0, 0.8738551971952095)	(6.0, 0.5582605445879932)	(7.0, 0.36026933671790895)	(8.0, 0.30097388366229944)	(9.0, 0.23785927522742387)	('>10', 3.740176433368632)	('>50', 1.4783239243829902)	('>100', 3.879718308897346)	('>500', 2.481036364377067)	('>1k', 8.392507827752224)	('>5k', 5.078038236597853)	('>10k+', 42.68666783644351)
Nac_oxy_1_2	(1.0, 22.935604686592768)	(2.0, 6.548848044774476)	(3.0, 3.239815600350692)	(4.0, 1.4791923321191311)	(5.0, 0.7736403664215737)	(6.0, 0.5037862834185578)	(7.0, 0.3719430902503117)	(8.0, 0.31350998559972787)	(9.0, 0.2523030474798447)	('>10', 4.1782291544131684)	('>50', 1.6108666415047095)	('>100', 4.1085296523976025)	('>500', 2.297783461170033)	('>1k', 7.220410300887744)	('>5k', 4.032972781529874)	('>10k+', 40.132564571089794)
Nac_oxy_2_1	(1.0, 48.483085370340284)	(2.0, 13.236237630463263)	(3.0, 5.5615670957297265)	(4.0, 2.680939001638436)	(5.0, 1.6046812477693362)	(6.0, 1.0471823383372931)	(7.0, 0.8173442596207909)	(8.0, 0.5912919292115525)	(9.0, 0.48679357985858845)	('>10', 4.114268172998726)	('>50', 1.0462326005228981)	('>100', 2.931477750706136)	('>500', 1.6330498604598707)	('>1k', 4.852873470257419)	('>5k', 2.060066823080326)	('>10k+', 8.852908869005367)
Nac_oxy_2_2	(1.0, 55.53079592689707)	(2.0, 11.689865081449371)	(3.0, 4.607803055416496)	(4.0, 2.2124218609426376)	(5.0, 1.323695216410239)	(6.0, 0.8821496437923734)	(7.0, 0.6302416684926826)	(8.0, 0.44886961581672147)	(9.0, 0.37457573075952694)	('>10', 3.2258198769392377)	('>50', 0.9226517944196232)	('>100', 2.7336297087359496)	('>500', 1.696850436820422)	('>1k', 4.571105303653288)	('>5k', 2.115715626063665)	('>10k+', 7.033809453390886)
Nac_oxy_3_1	(1.0, 53.455777660331414)	(2.0, 15.820810981510661)	(3.0, 6.873871066414456)	(4.0, 3.2940010871864462)	(5.0, 1.9666076806057808)	(6.0, 1.3392127131396847)	(7.0, 0.9758384559644128)	(8.0, 0.7851143856953178)	(9.0, 0.5785342701863422)	('>10', 4.562569625754528)	('>50', 0.8271209078077518)	('>100', 1.8603765768346867)	('>500', 0.9934512788194498)	('>1k', 2.564454166882879)	('>5k', 1.0080051124294818)	('>10k+', 3.0942540304365385)
Nac_oxy_3_2	(1.0, 63.3810114190561)	(2.0, 13.612818991855358)	(3.0, 5.351047050930838)	(4.0, 2.3929196159031005)	(5.0, 1.4356349738897893)	(6.0, 0.9194680173868781)	(7.0, 0.7163546945886345)	(8.0, 0.5237337542053405)	(9.0, 0.3731770951425031)	('>10', 3.098585748202949)	('>50', 0.6685692005533449)	('>100', 1.7489571158701378)	('>500', 0.7982273326308125)	('>1k', 2.089690432108168)	('>5k', 1.1964528334702162)	('>10k+', 1.6933517242058376)
Nac_oxy_4_1	(1.0, 56.15263230409997)	(2.0, 17.12581355458259)	(3.0, 6.891557339085602)	(4.0, 2.9863763558867236)	(5.0, 1.5296283457048896)	(6.0, 0.9446116041220554)	(7.0, 0.6757464467211416)	(8.0, 0.5024360296012718)	(9.0, 0.3565485225010209)	('>10', 2.9752035348268646)	('>50', 0.8244870296391167)	('>100', 2.189477165131059)	('>500', 1.1265200647803886)	('>1k', 3.141618515682867)	('>5k', 1.3368425165247433)	('>10k+', 1.2405006711096334)
Nac_oxy_4_2	(1.0, 65.0657727205877)	(2.0, 14.332006903564926)	(3.0, 5.30086584544984)	(4.0, 2.243630287827219)	(5.0, 1.1027751443867366)	(6.0, 0.6150087479966603)	(7.0, 0.4535788937945063)	(8.0, 0.33146932617170316)	(9.0, 0.27387160274526007)	('>10', 2.0889586416353456)	('>50', 0.6678171031919395)	('>100', 1.8772864361615638)	('>500', 1.1317691588846177)	('>1k', 2.85840147564059)	('>5k', 0.7214746468513057)	('>10k+', 0.9353130651100621)
Nac_oxy_5_1	(1.0, 34.21125046686806)	(2.0, 9.425239029344526)	(3.0, 3.79917134254904)	(4.0, 1.8935617127599158)	(5.0, 1.1747410157807414)	(6.0, 0.7441195146696518)	(7.0, 0.617587840453279)	(8.0, 0.44293602722922715)	(9.0, 0.3807245524207132)	('>10', 3.3822537903785888)	('>50', 1.1675381093994583)	('>100', 4.336381561798717)	('>500', 3.3712418704157288)	('>1k', 14.491556243797307)	('>5k', 9.071346054144161)	('>10k+', 11.490350867990886)
Nac_oxy_5_2	(1.0, 41.65279616553622)	(2.0, 8.603752428284242)	(3.0, 3.321589457375592)	(4.0, 1.6280711353376036)	(5.0, 1.0320677478654496)	(6.0, 0.7049189085139722)	(7.0, 0.5170913146808438)	(8.0, 0.4043350268669228)	(9.0, 0.34788246585037025)	('>10', 3.014407560661364)	('>50', 0.7200207403167049)	('>100', 2.991516436553061)	('>500', 3.6015898214427176)	('>1k', 17.32064189886028)	('>5k', 7.2319091447809205)	('>10k+', 6.907409747073754)
Nac_oxy_6_1	(1.0, 23.710728554889435)	(2.0, 7.863494320778224)	(3.0, 9.21055127842838)	(4.0, 8.989313545719705)	(5.0, 7.418989083279545)	(6.0, 5.720503042603304)	(7.0, 4.153989998781156)	(8.0, 2.8065739479704677)	(9.0, 1.9184370651529794)	('>10', 8.485495423457792)	('>50', 1.1626750881345158)	('>100', 2.674041100385418)	('>500', 1.4361789050004539)	('>1k', 3.799147919481025)	('>5k', 2.9214097304592377)	('>10k+', 7.728470995478507)
Nac_oxy_6_2	(1.0, 31.74097768709579)	(2.0, 7.982210523211706)	(3.0, 9.200282810737608)	(4.0, 8.267053109174505)	(5.0, 6.786357504546292)	(6.0, 5.139082587196155)	(7.0, 3.5951552971158574)	(8.0, 2.440580139828814)	(9.0, 1.572347055916079)	('>10', 6.233516269181262)	('>50', 0.9610185043999498)	('>100', 2.647206019673126)	('>500', 1.31569788584061)	('>1k', 4.046674695183841)	('>5k', 1.8665277737463994)	('>10k+', 6.205312137151626)
Nac_oxy_7_1	(1.0, 40.270058319131905)	(2.0, 17.659430094504984)	(3.0, 11.113248641565185)	(4.0, 6.109758949781492)	(5.0, 3.1945237536872195)	(6.0, 1.7255185043089225)	(7.0, 1.0715659644052151)	(8.0, 0.7415678702353702)	(9.0, 0.5183599658837645)	('>10', 3.8803400445466876)	('>50', 1.0900101435491572)	('>100', 2.7329178776989678)	('>500', 1.4971446114757383)	('>1k', 4.465799379501775)	('>5k', 1.348804637262986)	('>10k+', 2.580951242461011)
Nac_oxy_7_2	(1.0, 49.23321819613893)	(2.0, 16.390585816330226)	(3.0, 9.413462506030186)	(4.0, 4.808277592544844)	(5.0, 2.474656983667467)	(6.0, 1.2145078559671503)	(7.0, 0.7503836436600442)	(8.0, 0.4912740004800776)	(9.0, 0.3793046610143668)	('>10', 2.9240911496061015)	('>50', 0.9287227647098653)	('>100', 2.551641385355085)	('>500', 1.5520261681488097)	('>1k', 3.8331930348979255)	('>5k', 1.3798939822169367)	('>10k+', 1.6747602592319326)
Nac_oxy_8_1	(1.0, 30.1198658232503)	(2.0, 12.863599696226425)	(3.0, 11.449129551053332)	(4.0, 8.248479665457456)	(5.0, 5.483272218149343)	(6.0, 3.302212788364996)	(7.0, 1.9713524610690536)	(8.0, 1.3315110329799986)	(9.0, 0.9315889796010637)	('>10', 5.472300778826796)	('>50', 1.066147640684221)	('>100', 2.555798856979812)	('>500', 1.5109202554105872)	('>1k', 4.381567013180115)	('>5k', 1.9046338156557545)	('>10k+', 7.407619423110799)
Nac_oxy_8_2	(1.0, 40.13183951984811)	(2.0, 12.340013992622223)	(3.0, 10.104752707111972)	(4.0, 6.990296902943613)	(5.0, 4.229507900820084)	(6.0, 2.5404215360783056)	(7.0, 1.4587149491517697)	(8.0, 0.9757277407201503)	(9.0, 0.6977698818550908)	('>10', 4.189771263001824)	('>50', 0.8723373649323092)	('>100', 2.3136562048222604)	('>500', 1.1993452338456951)	('>1k', 4.333620539471187)	('>5k', 2.3900521505209498)	('>10k+', 5.232172112254507)
